stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.36,31.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,69.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.9,0,4.19,0,0,0,0,0,0,0,0,12.43,0,0,0,0,0,0,0,0,0,0,46.8,0,0,9.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.18,0,5.14,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.66,0,0,31.69,0,0,0,13.31,0,0,0,0,0,0,0
 14-21,0,0,1.69,8.46,4.73,0.85,0,0,0,0,6.49,2.49,0,0,0,0,0,0,0,0,11.9,0,8.55,84.22,0,0,0,0,0,1.57,6.11,0,0.87,34.73,0,0,0,0
 24-34,0,0,0,11.88,2.24,3.07,0,13.46,2.1,0,6.64,2.64,0,1.22,0,0,1.62,0.86,0,0,62.54,0,18.5,317.69,1.56,0,0,0,0,0,54.16,0.63,2.47,77.35,0,29.26,0,0
 36-46,0,0,0,0,0,2.92,0,19.19,0,1.55,29.74,1.87,0,2.24,0,0,1.15,0,0.77,3.58,52.99,5.02,9.64,260.08,1.42,1.88,0,0,0,0,44.56,0,0,80.64,1.85,6.59,0,0
 48-58,0,0,0,0,0,0,0,34.84,0.89,0.57,35.75,0,0,6.53,0,0,0.64,0,2.2,2.26,82.83,5.66,3.91,155.2,0,0,0,0.59,0,0,53.27,0,0,53.92,1.79,15.86,0,0
 60-70,0,0,0,0,0,5,0,31.28,0,4.56,43.66,0,0,0.81,0,0,10.56,0,0,0,117.88,5.98,8.28,53.34,1.69,0,0,3.32,9.07,0,38.74,0,0,27.1,6.97,38.69,2.36,0
 72-82,0,0,3.42,0,7.65,1.07,2.32,34.68,0.68,7.41,30.61,1.58,0,1.95,0,0,7.98,0,0.98,0,157.17,28.55,4.25,68.02,1.27,1.55,0,13.37,0.94,0,21.44,0,0,7.91,18.07,31.09,23.14,0
 84-94,0,0,0,0,7.55,1.4,5.2,41.87,0.91,4.13,33.68,5.18,0,0,0,0,3.79,0,5.5,2.42,98.38,22.2,1.4,66.74,0,4.5,0,6.04,1.49,0,69.83,0,0,8.27,2.07,28.19,42.3,0
 96-106,0,0,1.57,0,11.62,0,6.91,40.1,0,3.59,34.02,7.19,0,2.33,3.67,0,10.62,0,13.6,7.05,76.64,21.8,6.97,71.28,2.27,4.89,0,6.14,2.62,0,43.58,0,0,6.81,16.96,30.61,53.22,0.8
108-118,0,0,10.7,0.74,14.53,1.21,33.34,25.34,0,0.93,40.2,3.94,0,1.7,3.45,0.42,27.94,0,13.67,1.34,169.09,27.66,7.32,72.55,3.44,10.91,0,26.41,1.34,0,50.54,0,0,2.24,10.12,15.08,57.29,0
120,0,0,0,0,8.36,0,4.34,12.02,0,3.89,40.57,3.72,0,0,0,0,47.34,0,9.86,0,227.83,36.08,4.89,66.97,2.34,10.43,0,36.74,1.68,0,45.98,0,0,23.38,16.55,13.22,59.88,0
