stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,22.91,352.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.18,0,0,0
  5-6,8.02,237.61,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,9.43,0,0,0,0
  7-9,0,0,9.65,0,0,19.58,0,0,0,20.81,0,0,0,0,0,181.57,4.46,0,24.09,0,0,0,0
 10-12,0,0,7.42,0,0,33.49,0,0,0,0,0,0,0,0,0,182.76,6.58,0,44.54,0,14.31,0,0
 14-21,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.91,0,0,3.07,0,0.65,0,0,0,0,8.78,0,0,0,0,1.12,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,1.78,0,0,0,0,2.61,0,0,0,0,0,2.09,0
 48-58,0,0,0,0,0,35.24,0,1.05,0,0,2.07,0,0,0,0.51,8.3,0,1.03,0,0,0,0,0.38
 60-70,0,0,0,0,0,142.27,0,2.49,0,0,0.63,0,0,0,0,14.89,0,0,0,0,0,0,0
 72-82,0,0,0,4.99,0,209.17,0,1.76,0,0,0.6,0,0.57,0,0,12.23,0,0,0,0,0,0,4.16
 84-94,0,0,0,0,0,62.67,0,5.98,0,0,10.72,0,3.99,0,0,5.63,0,0,0,0,0,0,0.57
 96-106,0,0,0,0,0.68,208.88,0,0,0,0,13.61,0,4.46,0,0,3.19,0,0,0,0,0,2.95,2.54
108-118,0,0,0,1.83,1.8,235.05,0,4.62,0.45,0,15.96,0,2.53,0,0,25.27,0,0,0,0,2.25,0,2.57
120,0,0,0,2.2,1.49,105.09,1.56,3.25,0,0,29.03,1.15,14.04,5.31,0,28.82,0,0,0,0,0,0,12.47
