stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,20.8,87.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,61.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,8.8,0,5.45,0,4.58,0,0,0,0,0
 10-12,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0
 14-21,0,0,4.56,0.82,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.99,0,2.5,0
 24-34,0,0,3.31,0.62,1.12,0,0,6.32,0,0,0,0,0,0,0,0.87,5.56,3.31,0,11.7,0,0,0.99,0,9.78,0
 36-46,0,0,16.57,0,0.76,0,0,0,0,0,0.56,0,0,5.93,0,2.57,3.84,5.86,0,17.38,0,7.83,2.79,0,1.84,0
 48-58,0,0,3.35,0,1.52,1.47,0.71,1.8,0,0,0,0,0,17.25,0,0.42,1.67,4.92,0,5.95,0,0,7.82,0,10.05,0
 60-70,0,0,2.04,0,8.29,0,0,1.59,0,0,0.88,0,0,9.22,0,0.87,2.48,2.53,0,5.82,0,0,0,0,3.8,0
 72-82,0,0,0.57,0,1.87,0,0.92,0,0,0,0,0,0,4.38,0,0,0,1.13,0,3.43,0,0,0,0,11.45,0.77
 84-94,0,0,1.73,0,6.36,0,0,0,0.81,0,3.69,0,1.69,1.18,0.93,1.13,7.04,1.72,0,5.87,0,0,0,0,11.66,0
 96-106,0,0,0,0,2.17,0,0,1.5,1.24,0,2.76,1.14,0,6.77,0,0.91,2.94,6.63,0,6.61,0,0,0,1.48,13.37,0
108-118,0,0,1.15,0,4.77,1.08,0,0,1.9,0,0,0,0,0.81,0,0,1.83,0.66,0,7.02,0,0,0,0,0.93,0
120,0,0,0,0,13.76,1.28,3.1,0,0,0,0,0,0,0,0,0,12.74,0,0,8.12,0,0,0,0,19.01,0
