stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,17.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.54,0,0,0,0,0,0,0,0,0,0,23.96,0,13.67,0,0,0,0,0,0
 10-12,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.28,0.99,0,0,0,0,0,5.33,0,2.26,3.61,0,0,0,0,0,0,1.81,0
 24-34,0,0,0,0,0,0,0,2.08,0,1.79,0,0,6.23,0,0,0,0.61,0,0.63,1.43,6.47
 36-46,0,0,0,0,2.54,0,0,0,0,0.57,0,1.39,22.26,0,0,0,1.57,0,0,6.11,11.46
 48-58,0,0,0,0,3.98,1.19,0,0.82,0,2.45,0,0,17.94,0,0,0.56,0.52,0,0,2.82,3.28
 60-70,0,0,0,0,5.24,1.04,0,6.24,0,3.55,0,0,18.12,0,0,0,1.86,3.74,0,0,0
 72-82,0,0,0,0,5.97,0,0,2.39,0,2.56,0,0,32,0.9,0,0,0.49,0,0,0,1.53
 84-94,0,0,0,0,5.33,0,2.12,0,0,0,0,0,15.21,0,0,0,8.17,0,0,0,0
 96-106,0,0,0,0,10.09,0,0,2.59,3.35,0,3.24,0,18.57,0,0,0,1.41,0,0,0,0
108-118,0,0,0.66,8.3,5.28,0,0,3.93,0,0,0,0,16.95,0,0,0,0.6,0,0,0,3.99
120,0,0,0,0,2.21,0,0,0,0,0,0,0,18.46,0,0,0,4.52,0,0,0,2.99
