stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,11.48,564.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0
  5-6,30.41,745.38,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,9.67,0,0,0,0,0,0,0
  7-9,7.06,0,0,0,3.52,0,0,0,0,13.56,0,0,0,0,0,204.09,7.75,0,28.45,0,0,0,0,0,0,0
 10-12,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,135.56,11.83,0,24.13,0,0,3.54,0,0,0,0
 14-21,0,0,0,3.4,1.18,0,0,0,0,0,0,0,0,2.08,3.09,44.71,1.42,2.61,0.96,0,1.17,0,10.57,15.97,0,1.92
 24-34,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0,1.98,20.98,0,1.48,0,0,0,0,0.64,9.37,1.15,0
 36-46,0,0,0,0,1.22,0,0,0,0.67,0,0,0,0,1.35,1.35,10.72,0,0,0,0,0,0,0,1.93,0,0
 48-58,0,0,0,0,6.35,0,0,4.71,0.61,0,0,0,0.5,4.37,0,9.59,0,0,0,0,0,0,0,2.61,0,0
 60-70,0,0,0,0,0.87,0,0,0,0,0,0,0.81,0,0.75,0.58,10.4,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.25,0,0,1.88,0,0,0,0,0,0.61,0,1.09,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.08,0.69,1.16,0,0,0.89,0,0,0,0,0,0,6.63,0,3.11,0,1.19,0,0,0,0,0,0
 96-106,0,0,0,0,1.1,0,0,0,0,0,2.32,0,0,0.97,0.9,1.66,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.9,0,0.59,1.72,0.86,0,5.26,0,0,1.26,0,3.87,0,0,0,0,0,0,0,0,2.33,0
120,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0
