stage,erythrocytes,eye,glial,immune,mesenchyme,neural,spinal_cord
 24-34,0,0,0,0,0,0.83,0.81
 36-46,0,0,0,0,0,3.61,1.25
 48-58,0,0,1.17,0,0,27.71,2
 60-70,0,5.31,1.05,0,0,75.9,1.85
 72-82,0,14.57,2.65,0,0,62.03,0
 84-94,0,4.01,6.29,0,0,35.17,2.13
 96-106,1.69,5.11,0,0,0,57.47,0
108-118,0,3.7,4.53,0.42,1.8,52.55,3.36
120,0,18.62,17.82,0,0,58.64,8.38
