stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,32.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.99,0,0,0,0,0,0,0,0,0
  5-6,0,28.68,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0
  7-9,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.65,1.8,0,0.88,0,0,0,0,0,0,2.08,0,0,0,0,0,0,4.32,0,0,1.16,37.66,9.1,1.74,1.59,0,0,0.86,2.21,2.08,26.13,0,0,1.45,0,0
 24-34,0,0,2.7,0.67,8.67,0,0,10.94,0,2.16,0,0,0,0,4.41,0,1.33,0,1.84,0,8.22,32.8,0,0,5.19,278.93,1.33,8.71,1.8,0,5.12,0.66,8.21,5.46,117.38,0,0,8.91,0,3.2
 36-46,0,0,0,0,1.78,1.04,0,25.69,2.83,0.93,2.34,3.98,0,0,3.23,1.14,0,0,3.34,0,0.61,22.62,1.47,0,5.38,506.1,2.05,21.39,3.03,0,15.43,0,6.3,0,150.55,0,0,22.71,0,3.64
 48-58,0.77,0,0,1.75,15.74,0,0,128.27,3.18,0,0.49,25.14,0,0,1.52,7.07,0,0,0.47,6.39,4.16,35.36,0.63,0.4,9.03,719.15,0,18.82,3.83,0,5.32,0,2.61,0,149.77,0,0,3.3,0,2.73
 60-70,0,0,0,0,11.58,2.52,0,374.83,4.19,0.63,2.49,32.79,3.09,0,0,0.99,0.58,2.04,0,0,0,41.29,0,0,1.33,736.94,0.66,30.17,7.14,0,10.97,0,0,0,108.24,0,5.87,7.24,0.59,6.3
 72-82,0,0,0.64,0,8.05,14.28,0,879.14,0.74,0,2.98,59.58,1.22,0.5,3.56,0.6,1.05,2.78,3.01,0,0,82.46,2.11,0,4.44,1213.26,0,35.08,5.09,6.08,3.1,0,0,0,76.46,1.59,1.84,16.32,10.88,2.83
 84-94,0,0,0.94,0,14.63,32.62,0,640.91,0.72,2.03,4.07,47.57,1.88,0,2.05,5.99,2.39,2.16,1.46,2.03,0.72,72.37,0,4.11,6.01,725.73,0.65,21.92,17.94,0.6,22.47,2.8,0,0,53.99,0.79,2.18,12.39,0,2.88
 96-106,0,0,0,0,8.96,30.41,0.89,806.31,1.54,3.39,0,67.88,5.97,0,1.27,1.8,0.68,0.74,13.6,0,0.57,76.43,5.97,5.33,5.18,777.53,0,42.66,32.65,1.03,26.01,0,0,0,18.27,11.66,6.34,16.37,6.28,16.37
108-118,0,0,0,0,33.2,6.37,1.99,625.54,3.06,5.53,2.81,73.11,4.58,0,0.43,0.78,1.65,6.33,0.86,0.7,0.66,102.55,12.88,21.59,5.55,959.7,0.55,28.29,23.49,2.23,4.94,0,3.16,0,19.34,2.75,2.19,8.45,3.96,6.36
120,0,0,0,0,10.91,1.56,1.06,530.71,1.26,6.56,0,80.96,0,0,1.15,0,0,6.68,1.19,0,3.89,93.08,0,13.09,1.02,1193.48,0,20.2,30.25,0,13.29,0,0,0,83.49,0,8.03,35.81,12.16,0
