stage,epidermis,eye,immune,iridophores,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,8.6,0,0
 10-12,0,0,0,0,0,6.05,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.98,0
 24-34,1.21,0,0,0,0,2.05,0,0,0,0,0
 36-46,0,0,0,0,0.79,2.56,0,0,0,3.5,0
 48-58,0,0.57,0,0,0.54,9.74,0,0,0,0,0
 60-70,0.6,1.17,0,0,0,12.71,2.02,0,0,0,0
 72-82,0,0,0,0,0,1.46,0,1.14,0,0,0
 84-94,0,5.02,0,0,0.76,3.09,0,0,0,0,0
 96-106,0,0,0.73,0,0,0,0,0,0,0,1.6
108-118,0,0,0,0.51,0,6.35,0,0,0,2.61,0
120,0,0,0,0,5.55,3.25,0,0,0,0,0
