stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,otic,periderm,spinal.cord,vasculature
  5-6,7.94,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.35,0,0,0,0
 24-34,0,0,0,0,0,0,0.62,0,0,0,0
 36-46,0,0,0,0,0,0,15.46,0,0,0.77,0
 48-58,0,0,0.77,0,0,0.8,4.16,0,0,0.6,0
 60-70,0,0,0,0,0,4.45,5.23,0,0.9,6.96,0
 72-82,0,0,0,0,0,2.48,2.63,0,0,1.68,3.07
 84-94,0,0,0,0.84,0,1.36,3.06,0,0.74,0,0
 96-106,0,0,0,0,1.45,0,0,1.11,0,0,0
108-118,0,0,4.7,0,0,0,8.45,0,0.6,0,0
120,0,2.5,0,5.08,0,0,11.74,0,0,0,0
