stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,102.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.24,0,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.83,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,169.63,4.54,0,0,38.69,0,0,0,4.78,0,0,0,0,0,0,0
 14-21,0,0,0.89,5.1,0.96,0,1.82,0,0,0,4.06,1.07,1.69,0,0,0,0,0,0,5.37,0,0,9.02,53.1,0,0,0,0,0,0,3.22,0.85,1.17,3.57,11.75,0,0.87,0,0
 24-34,0,0,0,4.17,0,0,8.13,0,0,0.9,0,0,0,0,0,0.74,0,0,0,26.9,0,0,4.31,156.56,3.01,2.12,0,0,0,0.72,0,1.58,0,0.66,35.33,0,0,0,0
 36-46,0,0,0,0.7,0,0,33.02,0,1.71,1.17,3.46,0,0,0,0,4.54,0,0.81,0,11.76,0,0.63,0,321.79,2.25,0,0,0,0,2.5,0,1.34,2.28,0,65.43,0,0,0,0
 48-58,0,0,0,1.65,0,0,96.83,0,0,0,9.23,0,0,0,0,0.39,0,0.41,0,18.67,0,0.6,3.85,318.69,0,0,0,0,0.39,1.62,0,0,0,0,39.76,0.64,2.61,0,0
 60-70,0,0,0,8.83,0,0,195.59,0,0.59,0,24.85,0,0,0,0,0,0,0,0.74,15.88,0,0,0,271.74,0,0,0,0,0,2.59,0,3.3,0,0,31,0.82,2.16,0,0
 72-82,0,0,0,0,0,0,309.09,7.1,0.73,7.21,30.61,1.87,0,3.78,3.15,0,0,0.72,0,33.55,0,2.98,0,305.64,0,1.41,0.71,0,0,2.57,0,0,0,0,31.23,0,0.5,0,4.52
 84-94,0,0,0,3.53,0,0,121.07,0,0,0.82,11.84,0,0,0,0.68,0,0,1.88,2.28,46.33,0,0,0,167.04,0,9.74,0.69,0,0,4.86,0,0,0,0,24.03,0,0,0,0
 96-106,0,0,0,0,6.18,0,151.22,2.56,0,2.29,14.61,0,0,0,0,0,1.42,1.15,3.31,26.63,5.92,0,3,146.19,0,1.93,1.86,0,0,1.93,0,0.56,0,0,4.23,0.66,0,2.24,0
108-118,0,0.6,0,4.99,0.57,4.91,135.66,0.56,1.3,0,20.2,0,0,0,0.51,0,2.93,0.43,2.96,18.33,0,0.94,3.4,208.04,0,2.53,0,0,0,0.64,0,0,0,0,6.27,1.53,6.05,0,1.85
120,0,2.94,0,0,0,0,116.11,2.05,3.42,0,21.96,0,0,0,0,0,0,0,20.61,18.93,0,0,0,160.16,0,0,1.86,0,1.79,0,0,0,0,0,18.84,0,0,12.48,0
