stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,24.1,694.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0
  5-6,14.47,689.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,30.73,0,0,0,0,0,0,0
  7-9,10.13,13.86,0,3.79,0,0,29.04,0,0,0,0,0,0,0,0,0,0,0,0,0,304.59,3.67,0,0,72.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.36,0,0,24.97,0,0,0,16.81,0,0,0,0,0,0,0,0,0,249.44,8.26,0,0,91.01,0,4.19,25.25,0,0,0,0,0
 14-21,0,0,0,0,7.89,0,0.86,0,0,0.92,0,0,0,0,0,0,0,3.64,0,1.36,14.55,2.52,0,0,0.84,0,1.11,0,0.84,1.7,0,1.41,0
 24-34,0,0,0,0,2.16,0,0,0,0.73,0,0,0,0.62,0,0,0,0,0,0,0,18.5,0,0,0.78,0,8.13,0,0,0.62,1.19,0,0,0
 36-46,0,0,0,0,0.91,0,0,0,0,0,0,0,22.09,0,0,0,0,0.69,0,0,13.55,0,2.12,0,0,7.32,0,0,0,1.07,0,0.68,0
 48-58,0,0,0,0,0,0,3.77,0,1.22,0,0,0.54,0,0,0,1.52,1.63,0.54,0,0,27.44,0,0,0.46,0,3.26,0,0,0,2.06,0,0.41,0
 60-70,0,0,0,0,2.11,0,5.84,0,0,0,0,0,0,1.2,0,0,0,2.91,0,0,14.49,0,0.84,0.69,0,0.85,0,0,0,0,0,0,0
 72-82,0,0,1.14,0,0.55,0,6.25,0,3.14,0,0,0,3.17,0,0,0,0,4.43,0,1.17,15.14,0,0,0.62,0,2.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.99,0,2.55,0,0,0.62,2.11,0,3.19,0,0,0,0,1.75,0.78,0,2.36,0,0,1.32,0,2.85,0,0,0,0,0,0,2.06
 96-106,0,0,0,0,2.16,0,2.06,0,4.88,2.71,0,0,0.96,0,0,0,0,0.96,0,0,5.92,0,0,1.39,0,8.96,0,0,0,0,0.56,0,0
108-118,0,0,0,0,6.05,0.71,5.31,0.82,3.78,0,0,0,1.1,0,0.51,0,0,3.48,0,2.16,3.91,0,0,3.49,0,10.28,0,0,0,6.25,0,0,0
120,0,0,0,0,0,0,1.65,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,1.84,0,0
