stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,61.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,44.01,12.96,38.67,14.98,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0.81,0,0,0
 24-34,0,0,0,2.98,0,0,0,0.67,0,0,0,5.42,10.84,0,0,0.62,0.98,0,0,0
 36-46,0,0,0,13.85,0,0,0,0,0,0,0,0,7.83,0,0,0,0.83,0,0,0
 48-58,0,0,0,41.34,6,0,0,0,0.38,0,0,0.41,11.1,0,0,0,2.98,0,0.93,0
 60-70,0,0,0,108.14,2.06,0,2.55,0,0,8.23,0,0,44.84,0,0,0,10.26,0,0,0.87
 72-82,0,0,0,98.06,0,0,0,0,0,0.92,0,0,20.48,0,0,0,1.15,0.73,11.66,0
 84-94,0,0,0,84.01,1.48,0.69,5.05,0,0,0,0,0,14.98,0,0,0,0,0.88,1.16,0
 96-106,0,0,0,80.14,0,0,2.29,0,0.62,1.37,0,1.64,7.31,0,0,0,0,0,1.57,2.53
108-118,0,0,0.61,53.17,3.5,0,3.22,0,0,0,1.96,0.94,18.04,0,0,0,0,0,0.61,1.28
120,0,0,3.67,98.5,0,0,6.09,0,0,0,0,2.1,3.01,0,0,0,12.44,0,0,4.16
