stage,axial,blastomeres,epidermis,eye,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,240.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,135.23,0,0,0,0,0,0,0,0,6.29,0,0,0,8.05,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,29.45,9.02,0,0,3.7,0,0,0,0,0
 10-12,0,6.14,0,0,0,0,0,0,0,0,36.3,7.85,0,0,10.68,0,0,12.13,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0.9,0,0,0
 24-34,0,0,0,1.48,0,0,0,2.27,0,0.59,6.78,0,0,0,0,0,0,0,0.75,0
 36-46,0,0,0,0.96,1.42,0,0,5.44,0,0,18.02,0,0,0,0,0,0,0,0.72,0
 48-58,0,0,1.4,8.39,0.48,0,0,0.65,0,0,5.39,0,0,0,0,0,0,0,1.54,0
 60-70,0,0,0,5.12,0,2.86,0,2.29,0.6,0,3.85,0,0.96,0,0,0,0,0,0,0
 72-82,0,0,0.91,1.06,0.73,0,1.43,1.81,0,0,5.09,0,0,1.24,0,0,0,0,0,0
 84-94,0,0,0,0,2.94,0,0,0,0,0,1.63,0,0,0,0,1.79,0,0,10.45,5.83
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0
108-118,0,0,0,0,0,0,0,0,0,1.32,4.23,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0
