stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,4.94,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.8,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,1.08,0,1.01,0,0
 24-34,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,1.59,0,0,0.68,0,0,0.6,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,1.35,0,0,0,0,0,0,1.53,0,0
 48-58,0,0,0,0,2.36,0,0,0,0,0,3.6,0,0.48,0,0,12.32,0,4.5,0,0,0.58,0,0,0,0
 60-70,0,0,0,0,4.43,0,0,0,0,0,7.21,0,0,0,0,0.91,0,0,0,0,5.15,0,0,0,0
 72-82,0,0,0,0,3.51,0,0,0.67,0,0.65,12.19,1.51,3.85,0,0,10.77,0,0,0,0,0.93,0,2.1,0,0
 84-94,0,0,0,0,0,0,0,0,0.8,0,27.48,0,2.3,0,0,0,0,0,0,0,2.64,0,0,0.68,0
 96-106,0,1.08,0,0,2.23,1.25,0,0,0,0,114.18,0,1.15,0.7,1.08,22.38,0,2.29,0,0,3.49,0,0,0.67,1.12
108-118,0,0,2.56,0.61,1.48,0.45,3.93,0,0,0,88.63,0,2.35,0,0,19.84,0,0,0,0,1.14,0,0,0,0
120,0,0,1.32,0,26.51,0,0,0,0,0,118.9,0,0,0,0,15,0,0,0,0,5.23,0,0,0,0
