stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0.8,1.3,14.16,0,0,2.91,0,0,0,1.09,0,0,0,0,0,0,1.13,3.25,0,3.89,46.99,5.83,2.02,0,0,2.81,1,0.84,3.86,45,0,0,0
 24-34,1.45,0.66,6.54,0,0,17.49,1.91,0,0,0,0,0,0,5.72,0,2.41,0.74,8.48,0,2.59,218.57,16.39,8.57,1.52,2.97,0,1.7,0,3.66,152.27,0,0,0.63
 36-46,0,0,2.09,0,0,92.91,0,0,3.52,0,0,0,0,24.58,1.31,8.02,1.09,7.66,0,1.27,397.26,2.47,3.24,0,0,0,0,0,0,119.75,0,0,0
 48-58,1.89,0,3.92,0,0,205.77,0,0,11.72,0,0.64,0,0,62.35,0,0,0,27.66,0,2.45,464.37,15.62,1.44,3.38,1.82,0,2.88,0,0,84.32,0,0,0
 60-70,0,0,4.4,0,0,297.55,2.09,2.99,47.41,2.66,0,0,0,146.87,0,0,0,24.28,0,1.26,543.54,2.64,0,0,2.92,0,0,0,0,64.47,0,0,0
 72-82,0.87,0,15.68,1.45,0,353.02,5.2,0,25.3,0.61,0,0,0,101.3,0,0,0,20.58,0,0.61,777,2.45,0,0.5,4.52,0,0,0,0,54.39,2.61,3.59,4.92
 84-94,1.23,0,12.4,0,0.7,312.12,0,0,12.84,3.51,0,0.75,0,183.56,3.06,0,0,20.4,0,3.91,686.74,1.29,0.78,7.38,12.53,0,2.03,0,0,65.52,0,0,0
 96-106,2.46,0,18.57,7.5,0,210.96,0,0,20.51,0.75,0,1.21,0,102.73,1.02,1.26,0,11.98,4.1,0,642.16,2.03,1.51,0.93,9.98,0,0.87,0,0,51.32,0,0.8,0
108-118,0,0,8.42,0,0,200.84,0.7,0,15.47,1.92,0,0,0.47,370.85,0,1.29,0,10.75,0,0,520.29,1.94,2.72,0.58,0.65,0,0,0,0,27.43,1.14,0,2.16
120,10.66,0,2.65,13.55,0,103.15,1.75,0,56.32,1.73,0,0,2.78,180.79,0,0,0,30.5,15.43,0,911.24,2.06,2.28,0,0,0,0,0,0,37.98,0,0,0
