stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.56,383.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,271.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,19.06,0,0,0,9.9,0,0,0,0,0,0,0,0,0,185.15,4.47,0,0,71.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.96,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,93.02,5.7,0,0,49.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.89,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1.04,0,0,15.69,0,0,0,0,0,0,1.94,0,1.23,1.83,5.13,0,0,0,0
 24-34,0,0,0.68,0,0,3.28,0,0,0,0,0,0,0,0,0,0,8.43,0,1.58,53.5,0,0,0,0,0,0,0,2.79,0,0.63,12.93,0,0,0,0.77
 36-46,0,0,0,0,0,16.54,0,0,1.33,0,0,0,0,0,0,0,7.99,0,5.04,63.06,0,0.61,0,0,0,0.81,0,0,0,0,11.1,0,4.02,0,0
 48-58,0,0,0,0,0,11.97,0,0,1.99,0,0.67,0,0,0,0,0,5.34,1.13,0,76.45,0.55,0,0,0,0,0,0,0,0,0,16.37,0,0,0,0
 60-70,0,0,0,0,0,51.6,0,0,3.22,0,0,0,0,0,0,0,10.2,0,0.75,89.43,0,0,0,0,0.83,0,0,0,0,0,14.01,0,1.37,0,0
 72-82,0,0,0.54,0,0,29.65,0,0.74,1.76,0,0,0,0,0.49,0,0,10.54,0.88,1.66,62.98,0,0,3.59,0,0,0,0,0,0,0,15.25,0.9,1.66,0,1.08
 84-94,0,0,3.62,1.26,0,28.86,0,1.12,7.12,0,0,0.93,0,0,0,0,6.86,0,4.71,52.27,0,1.83,0,0,1.9,0,0,0,0,0,10.94,0,0,0,0
 96-106,0,0,0,3.83,0,27.06,1.15,0,2.2,0,0,0,0,0,0,0.6,12.46,0,0.82,23.48,0.58,0,3.74,0,6.9,0,0,0,0,0,7.48,0,0,2.56,0
108-118,0,0,3.75,0,4.96,12.53,0,0,9.75,0,0.43,0.42,0.77,0,2.43,0,15.46,1.21,0,42.45,0,0,0.56,0,0,0,0,0,0,0,1.68,0,2.9,0,0
120,0,0,2.13,0,0,27.9,2.33,0,9.07,0,0,0,0,0,0,0,16.96,10.83,2,29.43,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0
