stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0,0,0,0
  7-9,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,0,0,5.16,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.13,0,0,24.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.88,1.36,1.88,0,0,0,3.31,1.68,0,0,0,0,0,5.15,0,2.11,53.52,0,1.99,0.89,0,0,2.24,5.23,5.57,25.85,0,0,0
 24-34,0,0,0,2.63,2.12,2.78,0,0.68,0,3.08,0,1,0,0,0,0,24.23,0,8.95,140.88,0,0.84,0,0,0,0,0,1.52,50.23,0,13.11,0
 36-46,0,0,0,1.44,0,6.03,0,0,1.17,15.01,0,2.47,0,0,0.99,0,41.69,1.54,6.45,117.47,0,1.18,0,0,1.18,0,0,0,43.32,0,6.11,0
 48-58,0,0,0,0,0,11.96,0,0,3.72,16.45,0,2.25,0,5.9,0,0,40.72,0.73,6.97,61.78,0,0.47,0,0.4,0.39,0,0,0,25.09,0,7.04,0
 60-70,0,0,0,0,0,3.42,0,0,0,19.3,0,0,0,1.29,0,0,73.7,9.02,4.49,25.79,0,2.96,0,2.46,0,0,0,0,2.32,2.61,5.93,0
 72-82,0,0,0,0,0,7.09,0,0,1,33.09,0,0,0,0,1.04,0,57.32,1.9,13.75,31.14,2.01,3.8,0,3.32,5.83,0,0,0,0,2.48,8.88,1.62
 84-94,0,0,0,2.28,0,2.14,2.25,0,0,30.05,0,1.91,0,2.32,0,0,47.69,0,9.48,27.24,0.64,0,0,0,6.17,0,0,0,2,2.16,4.36,3.33
 96-106,0,0,0,0,0,5.82,0,0,0,14.41,0,0.96,0,1.04,0,0,23.17,1.25,6.35,8.7,0,1.87,0,1.47,3.04,0,0,0,1.52,2.88,6.06,0.69
108-118,0,0,0,0.76,0,0.57,0,0,2.07,10.22,0,0.83,0,1.47,0,1.07,56.36,2.4,1.25,15.78,0,0,0,0,0,0,0,0,0.42,1.53,21.8,1.79
120,0,0,0,0,0,1.12,0,0,0,24.87,0,1.85,1.65,0,0,0,35.11,0,0,2.39,0,0,0,19.8,0,0,0,0,0,0,6.12,8.87
