stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,191.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0
  5-6,96.92,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,11.84,0,0,0,0,0,0
 10-12,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,6.87,0,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,37.77,0,0.83,0.9,0,0
 24-34,0,0,0,0,0,1.41,0,0,0,0,0,4.41,0,0,0,0,0,1.83,0,1.93,14.02,0,0,0,59.03,0,1.03,0.86,0,0
 36-46,0,0,0,0,0,2.56,0,0,1.3,0,0.76,0.56,0,1.36,0,7.2,0,0,0,0.59,27.14,0,0,0,64.44,0,0,3.53,0.56,0
 48-58,0,0,0,0,0,4.11,0,0,3.07,0,0,10.9,0,0,0,0,0,0,1.11,0.43,31.3,0,0.46,0,51.39,0,0,4.61,0,0
 60-70,0,0,0.69,0,0,21.76,0,0,0.76,0.57,0,10.69,0,0,0,0,0,0.76,0,0,87.3,0,0,0,46.29,0,0,1.36,0,0
 72-82,0,0.86,2.63,0,0,84.38,0,0,20.27,0,0,10.56,0,0,1.23,0,0,1.12,0,0,298.76,0.75,0.59,0,63.06,0,0,5.17,0,0
 84-94,0,0,12.11,8.01,0,80.37,1.27,1.8,12.47,0.99,0,11.25,1.78,0,4.76,0,0,1.25,0,0,263.6,0,2,0,160.28,0,0,0,0,0
 96-106,0,0,11.94,1.43,0,77.19,0,0.59,20.27,0.83,0,10.12,0.62,0.69,3.71,0.7,0,5.04,2.9,0.7,357.28,0,0.57,0,181.5,3.82,0,4.23,2.02,0.69
108-118,0,0,17.73,1.14,7.8,86.57,4.05,1.13,26.89,2.32,0,4.5,3.28,0,1.79,0.6,0,5.54,0,0.48,330.96,2.92,0.53,0,155.68,0,0,5.56,0.58,0
120,0,0,7.87,1.1,0,153.97,0,4.27,0,1.88,0,3.41,6.34,0,0,0,7.72,2.83,4.8,0,694.17,7.12,0,0,172.75,0,0,31.87,3.98,0
