stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.67,70.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.02,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.65,0,0,0,10.19,70.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.6,0,0,0,7.24,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,94.79,0,0,0,26.78,62.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,7.56,10.31,78.39,1.77,0,0,0,2.04,0,4.64,19.82,47.88,0,5.6,65.09,0,3.83,0,0,8.97,15.07,0,8.03,63.82,0,27.39,17.37,2.89,491.03,9.15,0.86,23.93,0,5.34,35.23,0,0,0,0,0
 24-34,0,0,2.97,6.81,76.81,4.22,0,2.45,0,16.46,0,1.56,24.94,10.42,0.76,47.68,125.84,0,43.2,0,0,16.53,86.99,0,6.32,327.4,0,159.95,39.82,0,618.11,0,0,99,0,1.53,18.28,0,0,9.59,0,1.48
 36-46,0,0,0.95,1.29,30.91,7.25,0,5.55,0,3.39,1.98,2.36,13.69,7.63,0,127.44,66.77,0,22.88,1.47,0,17.13,81.64,0,9.09,743.92,0,165.46,19.54,0,811.72,1.02,3.29,98.61,0,0,39.01,0,0,1.58,0,0
 48-58,0,0,0.86,1.92,44.85,0,0,27.27,0,22.35,0.45,5.21,10.94,36.82,0,111.94,47.94,0,34.77,0,3.78,14.73,73.04,0,6.83,366.9,2.53,147.46,33.65,0,863.35,0,0,87.97,0,0,22.82,0,0,0,0,6.97
 60-70,0,0,15.62,1.19,106.32,1.42,0,45.47,1.01,18.9,1.82,13.06,42.36,31.99,1.47,158.54,31.83,0,29.54,17.03,0,34.34,63.56,5.24,2.01,210.55,0,155.08,40.49,0,780.21,0,0,107.18,1.57,0,7.56,18.8,0.83,1.04,0,9.02
 72-82,0,0,53.41,0,163.85,1.68,0,54.56,0,19.44,2.14,25.67,184.57,9.64,2.92,198.07,62.73,0,75.61,2.76,1.32,36.08,147.11,2.05,0,252.46,0,258.5,76.57,0,710.43,6.61,0,168.43,0,0,6.25,109.55,0.9,6.87,2.22,4.49
 84-94,0,0,74.16,3.63,346.61,1.76,3.07,54.45,0,66.2,4.06,10.36,353.98,15.65,0,292.82,127.65,0,107.47,27.04,6.05,29.06,158.35,1.17,1.87,313.98,0,308.78,83.7,0,2177.42,0,0,328.93,0,0,12.09,287.16,1.17,6.9,0,0
 96-106,0,0,67.39,8.72,552.48,25.91,5.87,105.42,1.44,111.27,7.78,14.86,621.29,0,1.53,326.51,168.59,0,226.43,29.69,0,45.01,244.07,5.55,2.32,333.49,0,550.56,154.89,0,1808.69,23.26,0,368.12,0.57,0,31.25,586.31,0,13.16,0,10.64
108-118,3.95,0,38.96,12.22,501.54,8.67,4.46,56.42,1.47,128.96,1.67,21.59,645.85,0,1.49,331.13,159.97,2.37,139.91,21.43,0,69.13,150.67,5.83,12.38,299.52,1.48,362,128.12,0,1905.01,0,0,345.88,0,0,4.33,519.48,2.35,16.83,6.16,5.55
120,0,0,7.55,0,327.12,0,1.23,25.71,1.18,100.55,0,13.66,309.31,0,0,314.2,64.77,0,91.06,64.66,0,52.3,50.37,0,0,218.38,0,239.99,143.9,0,893.9,2.5,0,238.34,0,0,0,217.47,1.52,9.8,4.69,0
