stage,notochord,paraxial.mesoderm,periderm,somites,vasculature
 10-12,13.83,6.44,0,0,0
 14-21,0,0,0,0.82,0
 24-34,0,0,0,0,0.84
 96-106,0,0,0.6,0,0
108-118,0,0,2.96,0,0
