stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,29.61,145.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.99,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0
  7-9,0,8.85,0,13.46,0,0,65.94,0,0,0,0,20.58,0,0,0,0,0,0,0,0,0,294.06,3.95,0,50.42,0,0,7.32,0,0,0,0,0,0,0
 10-12,0,0,0,11.85,0,0,16.28,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,175.18,0,0,32.98,0,0,0,0,30.63,0,0,0,0,0
 14-21,0,0,0,0,6.67,1.04,1.82,0,0,1.94,0,0,0,0,0,0,0,0,0,0,1.09,29.68,0,1.08,0,0,4.16,0,3.77,0,2.87,3.25,0,0,0
 24-34,0,0,0,0,2.38,0,2.32,0.95,0,0,1,0,0,0,1,2.03,0,1.38,0,0,0.85,11.05,0,0,0,0,1.18,0,0,0,0,2.26,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0.95,0,0,0,0,1.34,0,0,0
 48-58,0,0,0,0,0.37,0,1.85,0.5,0,0,0,0,0,0,0,0,0.39,2.68,0.63,0,0.46,6.96,0,0,0,0,0,0,0,0,0,4.01,0,0,0
 60-70,0,0,0,0,0,0,0.92,0,0,1.1,0,0,0,0,0,0,0,5.46,0,1.34,0,4.72,0,0,0,0,1.2,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,5.91,0,0,0,0,0.57,0,0,0,0,0,0,3.67,0
 84-94,0,0,0,0,18.12,0,0,0,0,1.81,0,0,0,0,0,0,0,9.32,0,0,0,3.92,0,0,0,0,4.47,0,0,0,0,0,0,2.11,0
 96-106,0,0,0.81,0,2.55,0,9.97,4.4,0,1.05,0,0,1.61,0.6,0,0,0,8.68,0,0,0,8.21,0,2.66,0,0,7.73,0,0,0,0,0,1.64,7.52,0
108-118,0,0,0,0,2.98,0,4.09,0,0.94,2.53,0,0,0,0,0,0,0,1.87,0,0,0,12.8,0,0,0,1.08,2.7,0,0,0,0,0,0,1.98,5.25
120,0,0,0,0,9.88,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,1.38,1.65,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0
