stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,22.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07,0,0,0,20.96,0,0,0,10.92,0,0,0,0,0,0
 14-21,0,0,0,0,1.73,1.79,1.06,0,0,0,0,0,0,0.94,0,0,0,4.28,5.5,0,0,0,0,0,2.05,34,0,5.9,0,0,2.79,0
 24-34,0,0,0,0,0.93,1.17,7.69,0.74,0,2.19,2.16,0.69,0,3.75,0,0,1.7,41.94,0,4.42,0,0,0,0,0,0.91,1.71,7.25,0,0,5.71,0
 36-46,0,0,0,0,0,0,15.12,0,4.92,0,0.88,0,0,13.38,0,0,0.9,66.65,0,6.12,0,0,0,0,0,11.13,0,14.39,0,0,0,0
 48-58,0,0,0,0,0,3.01,11.02,0.42,4.55,0,1.15,0,0,4.51,0,0,0,50.59,0,0.91,0,0,0,0.38,0,0.77,0,14.07,0,0,2.11,0
 60-70,0,0,0,0,2.05,0,156.13,0,5.63,0.64,0,0,0,16.61,0,0,0.97,64.3,0,10.23,1.49,0,0.97,0,0,0,0,16.84,0,0,0,0
 72-82,0,0,0,0,2.63,7.25,263.9,0,13.42,0.99,0,0,0,15.95,0,1.35,1.31,115.66,0,6.44,0,0,0,0,0,0,0,17,0,0,3.37,0
 84-94,1.23,0,0.56,0,1.63,4.89,297.39,0,25.99,1.25,0,0,0,13.85,0.57,0,5.47,71.74,1.94,7.76,0,0,0,0,0,0,0,25.5,0,0.69,0,0
 96-106,0,0,5.6,0,4.92,3.55,458.57,1.84,16.43,2.48,0,0,1.08,12.85,0,0,0,72.87,0,10.12,0,0,7.18,0,0,0.63,0,13.78,0,2.14,5.3,0.8
108-118,0,0,7.25,0,4.06,0,446.9,0,24.43,1.46,0,1.59,0,22.43,0,1.7,1.98,88.5,0,0.55,0,0,4.41,1.53,0,0,0,11.81,0.44,0,2.28,0
120,0,0,3.64,0,1.09,0,222.56,0,22.52,1.16,0,0,0,0,0,2.18,0,135.15,0,6.07,0,0,0,0,0,0,0,1.64,0,0,0,0
