stage,epidermis,glial,gut,periderm,spinal.cord
 14-21,0,1.83,1.08,0,0.9
 24-34,1.01,0,0,0,0
 84-94,0,0,0,0.58,0
 96-106,2.79,0,0,1.27,0
108-118,1.02,0,0,0.47,0
120,0,0,0,5.26,0
