stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,68.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,3.22,0,0,8.25,0,0,0,0,0,0
 14-21,0,0,0,2.07,0,0,0,0,0,0.91,0,0,0,0,3.76,0,0,0,0,0,1.77,0.84,1.22,0,0.9
 24-34,0,0.66,0,34.22,0,0,0,0,0,0,2.59,0,4.22,0,8.02,0,0,0,0,0,0,0,0,0,3.36
 36-46,0,2.48,1.11,80.8,0,0,0,0,0,0,0,1.33,0,0,21.2,0,0.66,0,0,5.59,0,0,1.81,0,1.94
 48-58,0,2.19,0,49.53,0,0,1.9,0,0,0,0,0,1.44,0,4.76,0,0,0,0,0,0,0,2.18,0,0.62
 60-70,0,6.72,0,98.54,0,0,3.55,0,1.31,0,0,0,1.84,0,15.14,0,0,0,0,0,0,0,4.65,0,0
 72-82,0,0,9.21,83.52,0,0,10.59,0,1.04,0,6.28,0,0.51,0,21.2,0,0,0,0,0,0,0,2.67,0.88,0
 84-94,0,3.37,4.41,124.3,0.63,1.74,0,0,2.96,0,2.03,0,0,0,16.66,0,0,0,0,0,0,0,5.6,0,0.64
 96-106,0,5.69,5.39,117.11,0,0,9.56,1.56,4.19,0,9.73,0,0,2.34,19.53,0,0,0,0,2.86,0,0,9.92,0,2.6
108-118,0,1.34,5.47,106.24,0,0,11.32,2.6,2.42,0,19.97,0,1.79,0,38.69,0,0,3.57,0,0,0,0,1.79,0,4.41
120,0,1.49,1.03,175.38,0,0,14.47,0,9.71,0,8.62,0,4.84,0,85.18,0,0,0,0,1.73,0,0,0,0,1.09
