stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,55.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.17,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.11,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0
 24-34,0,0,0.69,0.68,0,0,0,0,0,0,60.58,3.01,0,0,0,15.64,0,0,0
 36-46,0,0,1.08,7.17,0,0,0,0,0,0,189.71,2.75,0,0,0,22.01,0,0,0
 48-58,0,0,0.87,27.95,0,0,1.22,0,0,0,259.19,1.74,0,0,0,33.93,0,0.67,0
 60-70,0,0,0,66.45,0,1.47,0,0,3.88,0,322.63,8.59,0,0,3.12,59.57,0,0,0
 72-82,0,0,2.94,62.22,0,0,14.99,0,2.86,0,407.52,4.25,0,0,0,29.42,1.21,0,0
 84-94,0,1.53,0,42.8,0,0,11.31,0,0,0.92,313.98,6.2,0,0,0,27.47,0.9,0,0.63
 96-106,0,0,6.52,48.13,0.59,0,15.18,0,3.39,0,205.97,5.27,0,0,0,4.45,1.23,0,0
108-118,0,0,0,45.27,0,0,24.59,0.71,2.04,0.5,200.29,4.47,1.6,0,0,4.34,1.29,0,0
120,0,0,0,26.84,0,0,38,0,7.75,0,252.56,2.49,2.44,0,0,7.24,0,0,0
