stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,280.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,43.86,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,18.23,5.32,0,0,6.23,0,0,16.22,0,0,0,0,0,0
 14-21,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,89.2,0,6.33,0,0.82,6.2,0,0,0,0,0,0,0,1.53,0,0,0,0,0
 24-34,0,0,0,1.62,2.84,0,0,0,0,0,0,0,0.64,0,0.94,20.11,0.66,0,0,115.26,0,55.78,0,2.61,7.55,0,0,0,0,0,0,0,1.42,0,0,0,0,0
 36-46,0,0,0,0.56,2.38,0,0,1.85,0,0,1.17,0,1.24,0,0,25.56,0,0,0,105.42,0,85.87,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,13.86,0.61,0,0,0,38.19,0,0,0,74.89,0,87.18,0,3.33,14.08,0,0,0,0,0,0,0,0.99,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,8.77,0,0,56.56,0,0,0,0,64.31,0,0,0,80.94,0,419.58,0,24.67,9.61,0,0,0,0,0,0,0,5.98,0,0,0,0,0
 72-82,0,0,0,0,2.7,6.06,0,18.22,0,2.77,114.34,1.97,1.42,0,0,69.7,0,0,2.58,182.17,0,562.18,3.73,20.86,23.24,0,0.84,0,0,0.87,1.89,7.18,0,0,1.41,0,0,0
 84-94,0,0,0,0,0,7.96,0,28.85,0,2.43,43.54,5.84,0,0,2.75,128.82,0,1.03,0,472.97,0,457.05,0.76,14,43.58,0,0,1.68,0,0,2.15,5.4,0,0,3.45,0,1.98,0
 96-106,0,0,0,0,19.08,0,0,88.07,0,1.82,144.54,3.6,6.82,0,11.57,135.76,2.54,0,0,1352.69,0,1255.71,8.38,62.05,268.33,0.73,2.65,0,0,5.31,14.9,28.49,1.13,0,1.74,5.48,5,0
108-118,0,0,0.84,0,3.66,0,2.29,45.49,4.91,3.36,162.2,31.06,0.67,0,10.69,171.28,0.57,1.62,1.66,2457.01,2.16,1739.08,14.4,73.5,194.99,0.41,1.42,3.05,0,9.09,3.06,64.23,0,1.03,11.65,6.01,0.49,4.53
120,0,0,0,0,19.23,4.42,0,40.7,0,0,230.67,4.04,0,0,0,500.47,0,3.04,0,1100.14,0,1722.68,31.45,48.89,197.7,0,3.86,0,0,2.03,7.12,61.28,0,0,2.35,10.86,0,0
