stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,mesenchyme,neural,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,15.53,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.74,7.59,0,0,0,0
 10-12,14.42,0,0,0,0,0,0,0,45.25,0,0,0,0,0
 14-21,0,3.66,0,0,0,3.92,0,0,13.03,33.7,3.73,0,0,0
 24-34,0,0,0,0,0,0,0,0,2,3.38,0,0.6,0,0
 36-46,0,0,1.34,0,0,0,0,0.65,7.14,0.93,0,0,0,0
 48-58,0,0,0,0,0.56,0,0,0,1.94,0.39,0,0,0,7.59
 60-70,0,0,2.46,0,0,0,0,11.01,0,0.77,0,0,0.79,0
 72-82,0,0,5.69,0,1.7,0,0,0,6.02,0,0,0,0,0
 84-94,0,0,1.89,0.8,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.58,1.38,0,0,0,1.39
108-118,0,0.75,0,0,0,0,0.5,4.41,1.99,0,0,0,0,0
120,0,1.14,19.68,0,0,0,0,0,0,1.42,0,0,0,0
