stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,12.81,207.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,316.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07,0,0,0,0,0,0,0,0,0,0
  7-9,12.64,0,8.27,0,0,15.25,0,0,0,0,0,3.42,0,0,0,0,0,232.12,4.8,0,0,51.59,0,0,0,0,0,0
 10-12,0,7.39,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,185.43,3.65,0,0,20.23,0,0,0,0,0,0
 14-21,0,0,0,1.82,0.85,1.44,0,0,0,0,0,0,0,0,4.47,0,2.93,21.58,1.71,0,1.24,0,0,3.64,0,2.47,3.87,0
 24-34,0,0,0,3.91,0.68,2.8,0,0,0,0.69,0,0,0,0,3.91,0,0,49.04,0.94,0,0,0,1.18,0,1.06,0,17.58,0
 36-46,0,0,0,0,0,10.22,0,11.74,0,3.19,0,0,0,0,0,0,0,30.02,0,0,0.63,0,0,0,0,0,11.33,1.52
 48-58,0,0,0,1.84,0,11.75,0,0.37,0,4.94,0,0,0,0,8.53,0,0,23.37,0,0,0.45,0,2.91,0,0,0,4.05,2.98
 60-70,0,0,0,0,0,37.38,0,0,0.72,1.94,0,0,0,0,3.83,0,0,24.56,0,0,0,0,0,0,0,0,1.09,1.64
 72-82,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,6.34,0,0,29.78,0,1.28,7.39,0,1.81,0,0,0,1.81,0
 84-94,0,0,0,0.64,6.61,0.64,0,0,0,0,0,0,0,0,7.22,0,0,12.41,0,0.64,0,0,2.71,0,0,0,5.36,0
 96-106,0,0,0,0.69,0,0,5.83,0,0,9.48,0.6,0,0,0,12.64,0.68,0.57,12.95,0.73,0.56,2.11,0,0,0,0,0,0,1.05
108-118,0,0,0,2.87,0,14.64,0,0,0,2.19,0,0,0.7,0.43,6.69,0.75,0.57,7.22,0,0,0.53,0,0.59,0,0,0,0,0
120,0,0,0,2.89,3.08,3.13,0,0,1.04,0,1.92,0,0,0,3.29,0,2.58,34.53,0,2.92,0,0,0,0,0,0,0,5.89
