stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0
  5-6,25.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,4.54,0,0,0,0,0,0,0,0,0
 10-12,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.48,5.55,0,0,0,0,4.43,0,0,0,0,0,0,0
 14-21,0,0,77.26,1.49,0,0,0,0,0,0,2,0,0,4.35,0,0,0.81,0,0,0,0,0,1.58,0,0,7.95,0,0,0,0,0
 24-34,0,7.07,193.79,0,0,0,0.82,0,0,0,0,0,0,3.13,5.79,1.79,0.59,15.77,0,0,1.09,0,0.7,0,0,0,2.65,0,0,0.87,0
 36-46,0,0,75.82,0,0.73,0,0,5.25,0,0,0,0,0,0,3.05,2.1,0,10.35,0,0.56,0.62,0,0,0,0,0,6.87,0,0,0,8.52
 48-58,0,0,101.37,0,0.8,0.57,3.89,13.15,0,0,0,0,0,0,1.8,1.83,0,15.81,0,0,0.88,0,0,0,0,0,12.24,0,0,0,1.12
 60-70,0,0,38.67,0,2.96,0,0,13.18,0,0,8.82,0,0,0,35.98,0,0,9.19,0,0,0,0,0.75,0,0,0,3.48,0,0,0,0
 72-82,0,0,53.38,0,11.55,0,0.92,31.46,0,5.23,0,0,0.75,0,150.3,0,1.89,6.5,0,2.18,2.6,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,49.31,0,22.77,0,0,11.06,6.68,0,0,1.23,0,0,169.62,0,0,4.15,0,0,2.84,0,2.62,0,1.47,0,1.86,0,0,0,0
 96-106,0,0,72.64,4.14,12.43,0,2.12,26.1,8.48,0,0,0,0,0,186,0,5.59,11.58,0,0,4.47,0,0,0,1,0,1.13,2.49,1.93,0,0
108-118,0,0,52.36,0.55,2.91,0,0.7,15.8,0.61,2.84,0.58,0,0,0,122.95,1.18,0,14.05,0,0,0.75,0,1.69,0,0.51,0,0,0,0,0,1.42
120,0,0,24.86,0,2.97,0,2.15,13.95,1.61,0,0,0,0,0,78.81,1.49,0,3.85,0,0,6.67,0,1.51,0,0,0,0,0,0,0,0
