stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.03,0,1.04,0,0,1.11,0,0,0,0,1.11,0,0,9.26,0,0,0,0,24.77,0,1.74,0,2.12,0,0,44.81,0,0,0,0,36.3
 24-34,0.66,4.88,0,10.59,1.1,0,0.73,0,2.82,0,0,2.67,0,0,187.63,0,0,0,2.56,224.75,0,7.66,1.16,11.05,0,0.8,123.56,0,0,0.62,0,303.6
 36-46,0,10.08,0,24.27,0,0,8.53,0,0.73,1.06,1.77,10.33,0.67,0,287.01,14.35,0,0,0.85,385.77,13.83,9.01,0,2.47,0.6,0,96.35,0,0,4.39,0,370.84
 48-58,0,5.93,2,56.73,6.87,0,26.9,0,1.3,0,0,94.08,0,0,294.04,17.77,0,0,3.35,452.14,5.13,14.58,0.42,9.04,0,0,58.77,0,0,1.87,0,810.64
 60-70,0,5.46,7.03,186.95,3.31,9.63,92.5,0,3.61,0.65,0,231.49,0,0,196.31,8.68,0,0.95,1.59,578.96,0,9.54,0,0.85,0,0,62.14,0,0,0,0,590.61
 72-82,0.83,7.57,5.87,176.72,2.07,1.08,124.93,0,5.7,0,1.73,263,0.65,5.37,121.26,19.65,0,0.74,1.6,784.71,0,11.35,1.99,0.9,0,0,44.77,0,0.52,8.14,0,602.28
 84-94,2.1,3.83,0,145.14,1.97,0,94.78,2.09,5.06,6.21,0,226.47,0.69,0,251.37,9.01,0,0,1.62,687.08,0,2.75,3.1,13.78,0,0,11.86,0,0,0,0.75,338.79
 96-106,2.14,6.13,10.47,156.85,0,0,114.04,0,11.12,0,0,280.98,0,13.01,156.04,25.84,0,3.24,0,572.49,0,12.78,5.73,3.82,2.45,0,13.77,3.17,0.66,0.68,1.15,362.2
108-118,0.76,11.41,5.23,154.13,0.71,12.17,118.52,0.43,1.83,0,0,429.05,0,9.98,249.91,33.88,0,3.8,1.75,868.71,0,5.88,5.33,19.16,0,0,0.94,1.29,0,0.59,0,275.19
120,0,28.74,5.14,159.55,2.44,5.39,146.41,0,20.09,1.23,0,277.39,0,1.06,83.34,23.41,1.56,0,0,1669.95,0,18.92,7.34,0,0,0,37.37,0,0,0,0,104.13
