stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,53.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,13.25,0,0,3.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.32,3.23,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,28.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.73,15.64,0,8.21,0,0,3.12,1.66,0,0,0,0,10.5,0,0,6.04,62.05,4.98,1.01,1.62,0,0,0,15.1,0,2.43,18.26,30.07,0
 24-34,0,0,0.59,3.24,0.91,1.67,1.14,0,2.99,0,0,0,0,0,5.95,0,0,3.13,28.4,0,0,0,0,0.82,0,0,0,0,0.69,6.02,1.11
 36-46,0,0,0,0.6,0,5.01,0,0,1.98,1.33,0,0,0,0,3.85,0,0,0.7,37.64,0,0,0,0,0,0.68,0,0,0,0,10.9,1.38
 48-58,0,0.46,0,0.84,0,16.95,0,0.81,3.73,0,0,0,0,0,2.91,0.48,0,0,37.16,0,0.79,0,0,0,0,0,0,0,0,8.07,0
 60-70,0,0,0,2.52,0,35.54,0,0.98,3.3,4.11,0,0,0.6,0,5.8,0,0,8.59,50.34,2.55,0,0,0,0,0,0,0,0,0,22.66,3.09
 72-82,0,0,0,0.52,0.54,38.77,0,0,5.37,0,0.68,0,0,0,7.58,0,0,0.68,42.67,0,0,0,0,0.82,0,0,0,0,0,6.12,0
 84-94,0,0,0,1.65,0,22.93,1.25,0,7.88,0,0,0,0,0.84,5.5,0,0,0,24.79,0,0,0,0,2.3,0,0,0,0,0,5.7,4.59
 96-106,0,0,0,1.9,17.44,16.92,0,0,5.88,0.59,0,0.64,1.05,0,6.64,1.62,0,0,30.48,0,0,0,0,2.27,0,0,0,0,0,4.17,0.73
108-118,0,0,0,5.12,8.14,37.72,0,5.5,9.35,0,0,0,6.96,0,12.16,0,1.35,0,44.4,0.45,1.01,0,4.05,0.44,0,0,1.06,0,0,0,1.96
120,0,0,0,2.83,9.79,4.63,0,0,1.61,0,1.61,0,0,0,9.39,0,0,0,50.69,2.24,0,0,0,7.91,0,0,0,0,0,8.59,0
