stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.98,0,0,0,0,0
  5-6,0,72.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.45,0,0,0,0,0
  7-9,14.14,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.35,0,0,0,4.09,302.85,0,0,0,0,0
 10-12,0,0,21.03,0,0,0,7.12,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,75.55,0,0,0,22.18,117.33,0,0,0,0,0
 14-21,0,0,0.9,0.83,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,10.59,0,0,1.52,0,448.49,1.26,3.25,0,0,0
 24-34,0,0,0,8.98,0,0,1.84,0.99,0,0,0,0,1.22,0,1.65,0,0,0,0,2.4,0,39.23,0.64,0,0.65,0,586.13,0,3.29,0,3.75,0
 36-46,0,0,0,0.86,0,0,1.27,0,3.07,0,0,0,0,0,0.82,0.71,0,0,2.33,1.83,0,11.28,0,0.73,6.16,0,466.91,0,1.26,0,0,0
 48-58,0,0,0,11.97,0,0,3.59,1.55,0,1.52,0,0,0,0,0,0,0,0,1.3,2.73,0,16.77,0,0,13.88,0,338.34,0,2.15,0,0,2.3
 60-70,0,0,0,3.68,0,0,1.17,3.65,0,0,0,1.71,0,0,1.4,0,0,0,0,0.85,0,1.86,0,0,0.96,0,304.54,0,0,0,0,0
 72-82,0,0,0,10.43,0,0,2.49,0.5,1.04,2.29,0.5,0,0,0,0.5,0,1.05,0,0,0.95,0,8.54,0,0,2.95,0,129.87,0,7.24,3.4,0,0
 84-94,0,0,0,33.08,0,0,4.53,3.88,0,0,0,0,0,0.78,1.77,0,2.99,4.2,0,3.11,0,5.13,0,0,0,0,304.6,0,3.82,0,0,0
 96-106,0,0,0,55.64,4.74,0.97,10.88,1.2,0,1.65,0.73,0,0,0,0,0,0,0,3.71,3.71,0.75,8.01,0,1.51,0.86,0,255.15,0,1.5,0,0,0
108-118,0,0,0,44.3,0,6.77,10.39,3.48,0.52,0,1.73,0,0,0,0.89,0,0,0,0,2.33,1.05,11.62,0,0.86,0,0,181.86,0,0,5.1,0,0
120,0,0,0,79.45,0,0,9.47,6.54,0,0,0,0,0,4.44,0,0,0,0,0,3.88,0,21.76,0,1.09,0,0,220.45,0,0,2.29,0,0
