stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,neural,pericytes,periderm,taste,visceral.smooth.muscle
  3-4,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.39,0,0
 60-70,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,77.97,0,0
 72-82,0,1.61,0,10.22,0,0,0,0,1.08,0,0,0.57,1.65,0,98.66,2.31,0
 84-94,0,6.28,0,0,6.22,0,0,0,0.59,0,2.97,1.62,2.78,0,312.56,2.5,0
 96-106,0,18.68,0,14.95,4.2,1.76,1.9,0,1.45,0.61,12.84,0.7,23.57,0,363.46,0,2.19
108-118,0,10.74,2.21,4.51,6.79,0,0,1.66,3.63,0,1.29,5.24,9.4,1.58,463.03,1.33,0
120,0,53.99,0,3.26,12.91,0,0,1.89,9.1,0,0,5.75,8.61,0,578.87,1.32,0
