stage,epidermis,eye,mesenchyme,muscle,neural,otic,vasculature,visceral.smooth.muscle
 24-34,0,0,0,0.63,2.83,0,0,0
 36-46,0,0.65,0,1.08,12.21,0,0,0
 48-58,0,3.22,1.03,0.83,7.79,0,0,0
 60-70,0,1.48,0.91,0,8.29,0,0,0
 72-82,0,7.12,11.79,0,6.43,0.76,0.54,2.52
 84-94,1.32,0,0,2.79,0,0,0,0
 96-106,0,0,1.02,0,2.29,0,0.92,0
108-118,0,0,0,0,0.59,0,0.52,0
120,0,1.11,15.8,0,0,0,0,0
