stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,0,0,3.52,0,0,0,0,0
 24-34,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0.71,81.23,1.72,0,0,0,42.8,0,0,0,0,0
 36-46,0,0,0.94,0,13.19,0,0,0,0,0,0,0,0,4.51,2.14,259.96,2.17,0,0,9.95,60.21,0,0,0,0,0
 48-58,0,0,1.82,0,33.6,0,0,0,12.88,0,0,0,0,6.72,0,452.63,0.73,0,0,0,55.32,0,0,0,0,0
 60-70,0,0,0,0,108.34,3,3.13,0,2.96,0,0,0,0,10.24,0.87,873.41,15.99,0,0,0,72.85,0,0,8.17,0,0
 72-82,0,0,2.58,0,197.35,0,0,2.11,13.73,0.76,0,0,0,12.15,1.32,801.9,2.93,0,0,0.63,46.76,0,0,1,0,12.61
 84-94,0,0.56,4.42,8.63,153.35,0,0.68,0,6.73,0,0,0.63,0,6.99,0.66,628.31,2.58,0,0,0,71.46,0.9,1.91,0,0,0
 96-106,0,0,7.39,0,146.67,0,0,0,8.35,1.03,0.96,0,2.39,3.29,0,439.69,5.45,0.65,2.32,1.06,17.92,0,0,0,1.54,0
108-118,0,0,3.34,0.85,118.95,0,0,0,4.9,4.72,0,0,0,10.98,0,641.32,0.7,0,0,0.42,22.64,0,0,0,0.57,0
120,0,0,0,0,135.26,0,0,0,12.94,0,0,0,4.83,16.1,0,1035.49,1.57,0,0,1.78,6.81,0,0,0,0,3.58
