stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,10.22,0,0,0,0,0,0
 14-21,0,1.13,0,0,0,0,0,0,0,2.16,0,2.07,2.76,0,0,0,0,1.32,0,0,0,0
 24-34,0,0,0,0.6,0,0,1.71,0,0,21.59,0,3.74,13.74,0,3.22,0,0,2.15,0,0,10.35,0
 36-46,0,0,0,64.59,0,0,0.94,0,0,35.94,0,6.52,20.96,0.73,0.84,0,0,3.47,0,0,0.62,0
 48-58,0,1.51,1.99,82.67,0.4,0,14.73,0,0,41.95,0,3.28,22.21,0.37,2.86,0,0,1.73,0,0,0,0
 60-70,0,0,0,94.63,0,1.64,27.37,0,0,43.26,0,5.86,6.07,0,0,0,0,2.16,0,1.19,1.52,0.85
 72-82,0,0,0,35.87,0,0,31.31,0,0,61.82,0,4.48,9.05,0,0,0,1.77,0,0,2.48,0,1.85
 84-94,0,0,0,50.95,0,0,51.25,0,0,44.95,0,7.96,0,0,2.21,0,0,5.12,0,0,0,2.24
 96-106,0,0,0,65.78,0,1.81,72.26,0.56,0,48.18,0,13.32,16.5,0,3.43,0,1.36,0,0,3.53,0,2.8
108-118,0,0,0,62,0,0,57.66,0,1.79,35.79,1.87,1.02,13.15,0,3.69,0,1.97,0,1.01,0,0.96,3.43
120,0,0,0,42.35,0,0,31.36,0,0,37.13,0,0,10.58,0,0,0,0,8.14,0,0,0,5.15
