stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.14,860.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.24,0,0,0,0,0,0,0,0,0
  5-6,0,222.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.88,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,23.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.15,0,0,0,8.96,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,191.3,0,0,0,0,0,3.07,0,4.97,0,0,0,0,0,0,0
 14-21,0,0,0,3.76,476.04,1.07,0,0,6.88,0,0,0,0,0,2.09,216.82,0,0,0,0,1.13,15.53,0,0.83,8.44,0.86,1.44,0,1.07,0,70.43,3.52,0,0,3.77,0,0,0,0,0
 24-34,0,0,0,1.19,609.1,2.22,0,8.78,128.62,0,1.33,0.63,4.49,0,16.85,341.49,0,0.67,0,0,5.76,42.33,0,3.83,79.94,5.32,23.76,0,0,0,111.57,0,0.69,0.72,9.18,0,0,5.78,0,0
 36-46,0,0,0,0,412.4,0,0,4.88,260.92,0,1.02,0.56,0,0,57.58,169.63,0,0,0,0,6.44,17.49,0,1.32,49.31,0,33.83,0,0,0,121.57,0,0.82,0,10.9,0,0,0.56,0,0
 48-58,0,0,0,0,239.97,0,0,17.28,215.59,0.57,2.52,0.49,2.93,0,31.89,60.71,0,0,0,2.21,9.14,7.06,0,0.45,48.81,0,13.39,0,0,0,94.13,0,0,0,9.23,0,0,10.57,0,0
 60-70,0,0,0,0,254.72,0,0,15.86,223.52,0.84,1.69,0,0,0,55.18,88.83,0,0,1.18,0,3.7,5.28,0,0,25.99,0,11.66,0,0,0,173.05,0,1.59,0,1.72,0,0,5.04,0,0
 72-82,0,0,0,0,183.42,1.33,0,21.1,158.88,2.28,2.55,5.44,0,1.32,49.82,67.03,0,0,6.57,0,4.9,5.42,0,0.84,36.53,0,12.13,0,0,2.35,233.24,0,1.64,0,0,1.16,3.21,4.58,0.96,0
 84-94,0,0,2.6,0,337.65,7.78,0,17.26,229.28,0,3.97,13.43,0,0,95.15,116.92,0.62,0,25.48,0,2.9,7.34,1.94,1.54,23.36,0,19.58,0,0,0,661.77,0,3.79,0,6.16,1.35,0,4.71,0.62,0
 96-106,0,0,2.33,0,349.44,0,0,39.31,257.38,1.67,0.57,18.7,0,0,103.04,157.18,0,0,19.48,0,17.6,13.29,0,3.05,53.54,0,23.21,2.12,0,0,660.27,0,1.44,0,0,5.12,1.27,3.86,0,3.5
108-118,0,0,0.77,0.74,318.18,0,1.2,17.65,382.17,3.78,9.52,31.6,0,0,89.33,127.69,1.25,3.64,55.23,0,2.08,18.76,0,0.74,46.87,0,18.69,0,0,0,535.6,0,2.53,0,0,5.14,1.1,3.98,0,3.93
120,0,0,1.37,0,299.94,3.09,3.57,4.05,280.26,0,0,35.87,0,0,82.46,149.6,1.62,0,17.09,0,10.62,18.81,8.33,4.37,65.76,4.48,63.93,0,0,0,373.54,0,0,0,0,1.14,0,5.33,0,0
