stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,26.24,53.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.5,288.36,13.1,0,0,0,0,0,0,0,110.19,15.88,0,7.5,0,0,0,0,0
  7-9,18.31,9.05,30.11,0,3.35,0,0,0,0,0,74.6,32.85,0,1081.36,0,0,0,0,0
 10-12,0,0,11.21,0,0,0,0,0,0,0,59.98,12.44,0,333.01,0,44.17,0,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,1.22,6.49,0,0,91.7,0,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,3.38,0
 36-46,0,0,0,0,0,0,0.62,0,2.3,0.6,7.69,0,1.39,0,0,0,0,1.21,0
 48-58,0,0,0,0,4.17,0,0,0,0,0,16.75,0,0,0,0,0,0,1.76,0
 60-70,0,0,0,0,10.09,0,0,0,1.97,0,16.73,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.16,0.67,0,0,0,0,0,7,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,6.17,0,0,0,0,0,8.64,0,0,0,0,0,0,4.77,1.77
 96-106,0,0,0,0,0.93,0,0,0,0.84,0,0,0,0,0,0,0,0,1.51,0
108-118,0,0,0,0,0,1.32,0,2.11,0,0,0,0,0,0,0,0,0,0,0.5
120,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0
