stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,75.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.49,0,0,0,0,0,0
  5-6,0,85.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825.03,0,0,0,0,0,0
  7-9,19.12,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.51,147.25,0,0,20.35,145.21,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.23,41.51,0,0,55.68,84.49,0,0,0,0,0,0
 14-21,0.93,0,16.35,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,3.66,7.92,0,0,1.32,418.25,0.84,1.18,0,0,0,0
 24-34,0,0,8.68,0,1.72,0,0,0.64,0,0,0,0,4.86,0,0,0,0,1.05,10.46,0,0,44.91,1.54,0,0,0,400.51,0,2.53,0,1.24,0,0
 36-46,0,0,34.02,0,1.85,0.57,0,0,0,0,1.77,0,1.41,0,0,0,10.67,5.01,7.75,0,0,41.64,0.6,0.6,0,0,486.86,0,4.72,0,0,0,0
 48-58,0,0,5.76,0,2.85,0,0,0.51,0,0,0,0,5.71,0,0,0,0,3.21,16.8,0,5.74,25.23,0,0.44,0,0,262.68,0,3.24,0,0,0,5.15
 60-70,0,0,12.34,0,3.46,1.83,0,0.8,0.96,0,0,0,3.85,0,0,0,0,0.91,11.53,0,0,24.13,0,0,0,0,244.04,0,0,0,0,0,0
 72-82,0,0,25.21,0,0,0.6,5.88,0.71,1.95,0.52,0,0,1.65,1.66,0,0,0,1.37,9.47,0.56,0,31.63,0,0,1.4,0,250.73,0,0.99,0,0,0,0
 84-94,0,0,61.07,0,4.82,4.19,0,8.25,8.4,0,0,0,3.37,0,0.78,0,0,0,10.9,0,2.4,21.91,0,0,0,0,421.82,0,0,1.32,0,0,0
 96-106,0,0,83.95,5.82,9.15,7.4,0,0,14.43,0,0,0,4.1,0,0.75,0,0,4.93,14.91,0,0.9,25.07,0,0,0,0,289.62,0,0,3.41,0,0,0
108-118,0,0,67.49,0,0.45,5.06,0,0,21.54,0,0,0,9.09,0,0.45,0,0,4.23,12.83,0,0,26.6,0,2.45,0,0,226.49,0,0,4.52,0,0.73,0
120,0,0,65.78,0,3.21,15.94,0,0,16.25,0,0,20.18,1.72,0,1.69,18.25,0,0,14.92,0,0,14.77,0,0,1.28,0,188.8,0,0,1.65,0,0,0
