stage,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,4.16,0,5.39,0,0,0,0
 10-12,0,0,0,0,0,0,10.58,0,0,0,0
 14-21,0,0.86,0,0,2.68,1.73,0,0.93,0,1.47,0
 24-34,1.78,0,0,0,0,0,0,0,0.6,0,0
 36-46,0,1.44,0,0,0,0,0,0,0,0,0
 48-58,0,2.12,0,0,0,0,0,0,0,1.04,1.27
 60-70,0,5.13,0,0,5,0,0,0,0,0,0
 72-82,0.67,2.55,0,0,4.62,0,0,0,0,0,0
 84-94,2.16,1.41,0,0,16.74,0,0,0,0,0,0
 96-106,0,2.79,15.29,0,2.68,0,0,0,0,0,0
108-118,2.39,0,3.48,1.06,0,0,0,0,0,0,0
120,2.59,0,27.33,0,0,0,0,0,0,0,0
