stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.07,0,186.31,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,1.34,14.81,0,0,0,4.15,0,2.81,0,1.91,1.78,4.41,0,0,274.53,0,0
 24-34,0,0.83,0.67,0.88,19.2,0,0,0,0,0,0,59.04,0,1.58,0,0,0,1.45,0,1.79,55.13,0.99,0,0,5.41,0,0,3.67,0,0.62,11.58,0,0,1370.75,0,0
 36-46,0,0,0,2.41,4.9,0,15.01,0,0,1.34,0,43.58,0,0,0,0,1.09,6.03,0,0,128.7,0,0,0,2.2,0,0,0,0,0,36.26,0,0,823.45,0,0
 48-58,0,0,0,0,3.77,0,17.29,0,0,15.49,0,78.64,0.56,0,0,0,0,8.02,0,0,166.39,0.88,0,0,6.06,0,0,0,0,0,19.55,0,0,706.43,0,0.62
 60-70,2.52,0,0,0,0.65,0,6.78,0,0,21.83,0,109.69,0,0,0,0,0,59.02,0,0,185.21,1.51,0,1.03,0,0,0,0,0,0,21.59,0,0,643.66,0,0
 72-82,0,0,0,3.87,4.09,0,24.73,0,0,92.69,0,141.68,11.93,0,0,1.65,0,126.12,2.61,0,132.92,0.67,1.91,0,1.2,1.65,0,0,0,0,13.67,0,2.17,1385.58,2.81,2.33
 84-94,0,0,4.51,1.06,3.17,0,8.53,0,0.77,54.91,0,91.25,0.68,0,0,0,0,71.85,1.91,3.77,43.38,0,0,0,0,0,0,0,0,0,4.14,0,1.55,1285.51,2.46,0
 96-106,0,0,0,2.16,42.22,0,41.71,0,2.05,128.78,0,197.13,3.74,0,0.6,0,0,136.56,1.92,5.31,95.38,3.45,1.77,1.11,8.48,0,0,3.11,0,0,0.99,0,0,1863.34,2.62,0.69
108-118,1.23,0,0,4.51,11.36,1.42,12.72,1.14,4.07,114.65,0,127.62,1.59,0,2.15,5.35,0,165.3,0.75,1.02,85.12,0.72,1.01,3.62,3.82,0,0,2.56,0,0,6.46,3.42,1.71,1686.42,4.15,3.13
120,0,0,0,30.25,7.97,0,18.66,0,0,248.2,5.2,188.11,0,0,0,12.94,0,98.63,34.6,0,143.41,15.9,3.45,4.76,13.42,0,0,0,0,0,0,0,6.67,1693.91,0,0
