stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.01,202.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.74,0,0,0,0,0,0,0,0
  5-6,0,81.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,15.71,2.37,1.44,0,0,0,0,0,0.95,10.25,0,0,0,0,0
 24-34,0,0,0,1.32,0,0.62,0,0,2.42,0,0,0,0,0,0,0,0,0.89,0,0,0,185.48,0.67,20.69,0.65,0,0,0,1.58,0.63,38.51,0,0,11.33,0,0
 36-46,0,0,0,0.94,0,5.72,5.14,0,0,0,0,8.33,0.64,0,0,0,0,0,0,0,0,419.27,0,24.64,1.46,0,0,0,0.59,0,42.83,0,0,0,0,0
 48-58,0,0,0.67,1.89,0,15.1,0,1.22,29.41,0,2.08,0,0,0,0,0,3.49,5.68,0,0,0.75,688.8,0,17.7,1.89,0,0,0.82,2.86,0,62.83,0,0,4.1,0,5.66
 60-70,0,0,0,1.39,0,54.93,0,0,10.26,1.25,0,0,0.6,0,0,0,0,7.49,0,5.13,5.03,1050.17,2.95,16.65,0.95,0,0,0,0,0,68.97,0,0,0,0,0
 72-82,0,0,1.38,0.76,1.35,95.18,0,0,33.85,3.06,0,0.7,3.16,2.68,0,0,0,25.49,0,4.21,0.71,1244.67,0,13.79,4.29,0,0,0,0.57,0,54.27,0,0,6.62,0,2.94
 84-94,0,0,3,4.37,0,65.12,0,0,18.56,0.84,0,0,2.95,0,1.82,0,0,4.4,0,0,0,850.36,0,15.4,8.88,0,0,0.65,0,0,41.25,1.17,0,1.97,0.68,0
 96-106,0,0,2.56,2.49,3.04,74.53,0,0.64,10.44,0,0,2.07,2.14,0,0.65,2.09,0,21.6,1.83,0,0,681.04,0,33.26,14.96,0,0,4.9,0.69,0,11.06,0.83,3.06,5.33,0,0
108-118,0,0,3.07,7.14,1.66,39.38,0.44,0.5,17.74,0.81,0,0,6.09,2.3,1.21,0,0,29.41,0.71,3.6,0,1181.05,2.9,32.36,14.07,0,0,1.02,0,0,23.87,1.33,0,8.26,1.63,0
120,0,0,0,9.09,6.31,118.91,0,0,20.69,5.38,0,0,4.52,0,0,0,0,6.01,2.91,0,4.89,1598.8,0,42.16,26.24,0,10.01,0,2.43,0,22.29,0,0,16.23,0,0
