stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,17.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,1.85,0,0,0,0,0,2.5,0,0,0,1.18,0,0,0,0,7.03,0,0.81,0,0.94,2.73,0,5.4,8.95,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,8.24,1.58,0,0,0,0,0,0,2.72,0,4.78
 36-46,0,0,0,0,0,0.89,4.51,0,0,0,0,1.77,0,0,0,0.94,0,0,33.69,0,0,0,0,0,0,0,5.72,0,0
 48-58,0,0,0,0,0,1.15,0,0.47,0,0,0,0.66,0,0,0,1.24,0,1.18,21.95,2.86,0,0.41,0,0,0,0,4.18,0,4.13
 60-70,0,0,0,1.02,0,2,0,0,0.86,0,0,0,0,0,0,5.75,0,0.6,48.47,5.76,0,7.6,0,0,2.72,0,18.77,0,0
 72-82,0,0.91,0,1.33,0,7.03,0,0,0,4.39,0,0,4.17,0,0.6,9.95,0,0,52.87,16.9,0.5,1.95,0,0,0,0,2.94,0,0
 84-94,0,0,0,2.42,0,2.2,0,0,0,0,1.31,0,0,0,0,9.9,0,2.65,9.9,3.81,0,4,0,0,0,0,0,0,0
 96-106,0,0,0,4.38,0,0,0,0,0.76,7.27,0.63,0,0,0,0.65,15.15,0,0,19.64,11.95,0,0.63,0,0,0,0,0,0,0
108-118,0,1.15,0,1.18,0,0.67,0,0,2.87,9.98,0,0,0.52,0,0,14.27,0.74,3.62,36.56,4.14,0,0,0,0,0,0,0,0.51,0
120,0,0,0,1.14,0,0,0,0,0,0,0,4.46,9.73,0,0,19.56,0,3.36,104.68,3.57,8.73,0,0,0,0,0,0,0,0
