stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.39,89.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,144.15,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.79,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.1,0,0,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,29.99,0,0,0,28.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,8.64,3.11,7.71,0,0,5.66,0,0,1.26,0,0.91,0,0.93,0,10.14,0,0,85.36,0,0,0,1.18,0,0,12.53,3.99,1.46,5.31,11.15,0,3.02,0,0
 24-34,0,0,0.8,0,12.14,0.6,9.9,0,0,1.95,0,0,0,0,0,0,0,0,13.92,0,9.46,171.7,1.86,0,0,0,0,2.57,0,0,0,1.95,45.58,0,6.56,0,0
 36-46,0,0,0,0,1.85,0,23.29,0,1.8,6.73,0,0,0,0,0,0,0,0,19.9,0,3.99,129.63,0,2.16,0,0,0,2.97,3.04,0,0,0,29.02,0,1.17,0,0
 48-58,0,0,0,0,4.38,0,47.36,0.37,0,21.24,0,0,0,0,0.38,0,0,3.29,25.32,0,1.55,72.03,2.83,0,0.37,0,0,0.4,0,0,0,0,21.05,0,0,0,0.68
 60-70,0,0,0,0,1.3,0,43.76,0,0,14.26,0.63,1.21,0,0,0,4.2,1,0,36.26,0,7.19,63.02,0,0,0,0,0,12.57,0,0,0,0,17.68,0,1.86,0,3.58
 72-82,0,0,0,0,2.4,0,48.66,0,1.23,7.18,0,0,0.87,0,0,0,0,0,17.9,0,1.78,56.61,0,0,0,0,1.06,4.62,0,0,0,0,6.42,0,4.99,1.14,0
 84-94,0,0,0,0,4.96,0,32.13,0,0.7,7.25,0.58,0,0,1.78,0,0,0,0,15.34,0,1.48,28.88,0,0,0,0,0,3.27,0,0,0,0,3.86,0,3.04,0.68,0
 96-106,0,0,0,0,0.69,0,31.13,2.03,0,9.11,0,0,0,2.76,0.74,0,0,0,13.08,0.76,0.63,19.86,0,2.27,0.85,0,0,1.61,0,0,0,0,6.99,0,6.44,1.24,0
108-118,0,0,0,0,5.41,0,12.13,0.44,0.77,7.08,0,0,0,0,0.42,0,0,0,13.62,0,1.03,28.2,0,0,0,0,0,1.42,0,0,0,0,0,1.35,1.19,0,0
120,0,0,0,0,3.26,11.17,42.79,0,1.67,22.33,0,0,0,0,0,0,0,0,3.79,0,2.1,64.21,1.25,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0
