stage,axial,blastomeres,eye,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,71.47,481.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.13,158.21,0,0,0,0,0,0,43.72,0,0,0,0
  7-9,0,0,5.17,0,8.46,0,0,0,34.66,15.1,0,0,0
 14-21,0,0,0,0,0,0,0,5.36,0.91,0,0.86,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.18,0.65,0
 36-46,0,0,0,0,0,0,0.73,0,0.84,0,1.3,0,0
 48-58,0,0,0.44,0,0,0,0.45,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.88,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.68
 84-94,0,0,0,0,0,0,0,0,0,0,0.95,0,0
 96-106,0,0,0,4.44,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,7.29,0,0,0,0
