stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,51.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.21,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,1.99,0,0,0,0,0
 24-34,0,0,1,0,0,954.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,3.1,0,0,7.61,0,0,0,0,0
 36-46,0,0,0,0,0,725.06,0,0,0,1.2,0,0,0,0,2.49,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,3.57,0,0,0,0,0
 48-58,0,0,0,0,0,640.4,0,0,0.7,1.03,0,0,0,0,0,0,0,0,0.51,0.95,0,0,0,16.4,0,0.57,2.47,0,0,0,0,8.28,0,0,0.49,0,1.53
 60-70,0,0,4.95,0,0,7091.19,0.76,0,0.67,1.3,0,0,0,0,0,4.06,0,4.25,0,29.52,0,0,0.65,99.48,0.63,3.26,0,0,4.09,0,0,27.98,0,0,0,0,3.59
 72-82,0,0,18.67,56.98,1.04,9709.57,9.64,8.77,10.52,89.28,10.54,4.91,0.84,0.61,1.09,2.68,0.92,4.1,12.76,124.52,0,2.3,8.64,249.45,6.21,5.33,10.01,0,24.95,0,8.92,31.77,7.16,6,11.32,4.94,16.8
 84-94,0,0,30.9,18.5,0,15454.37,2.25,1.71,7.16,21.98,5.38,0,4.49,3.51,0,6.85,0,0.89,8.01,75.55,7.87,14.65,1.86,223.35,0,3.6,6.48,0,17.64,1.98,0,22.91,1.63,0,12.07,5.54,0
 96-106,0,0,468.46,43.49,2.47,15669.29,79.22,22.71,3.14,50.59,3.76,0,2.32,11.46,5.2,1.14,1.52,55.47,0,117.39,0.68,5.55,7.02,386.8,1.81,6.33,19.04,0.99,33.58,0,5.48,1.73,0,5.52,28.34,4.9,2.53
108-118,0,4.91,24.65,64.53,7.19,17526.83,1.51,8.28,6.4,110.09,3.94,0,2.05,4.65,0.92,8.67,0.55,13.96,0.47,206.94,4.04,10.52,10.97,513.83,0.41,5.76,12.96,4.62,40.35,0,0,26.15,2.02,3.59,31.44,2.72,18.23
120,0,0,172.74,57.06,0,28714.85,2.34,37.48,10.32,137.85,4.41,0,4.46,40.47,7.98,5.66,19.63,19.65,0,208.73,1.72,31.41,50.29,997.62,4.9,16.12,9.06,0,46.44,47.23,0,1.81,0,4.12,13.19,4.27,14.61
