stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.03,0,0,0,0,0,0,2.93,0,0,0,5.58,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,8.14,0,0,0,0,7.46,0,0,0,0,0,4.71,0,0
 48-58,0,0,0.52,0,0,0.45,0,0,0,0,1.88,0,1.13,0,0,0,12.66,0,0,1.97,1.29,0,0,0,0,24.49,0,0,0,0,0,0.61,0,0
 60-70,0,0,3.72,0,0,1.04,1.18,0,0,13.12,0.59,0,3.07,0,0,1.49,50.88,0,1.31,4.59,1.97,0,0,0,1.65,41.66,2.82,0,5.17,0,0,0,0.98,0
 72-82,0,0,9.82,4.07,0,17.87,0,0.55,0,51.98,0.53,0,0,0,0,50.59,192.86,0.69,17.18,12.14,37.44,0,0,0.81,0,34.24,0,0,0,2.98,4.51,4.21,2.71,0
 84-94,2.28,0.6,40.14,0,0,39.28,2.17,1.81,1.8,127.87,0,0,3.97,0.66,0,169.27,164.73,4.47,9.29,4.76,40.46,0.66,1.59,6.97,0,170.55,1.91,0,2.1,0,0,6.51,2.21,0
 96-106,1.07,0,71.45,18.41,2.87,48.25,4.6,1.02,5.85,261.62,0,1.93,6.94,0,2.95,333.94,280.57,2.95,23.18,9.32,139.67,2.63,0,12.8,0,243.33,5.87,0,0,3.73,5.46,10.48,2.79,0.9
108-118,0.77,1.47,155.43,2.82,0.6,55.67,13.41,2.22,5.85,500.39,2.2,1.82,8.32,0,0,878.06,389.48,2.25,16.07,11.65,140.59,0,0,17.48,1.49,266.26,15.55,0,0,1.77,4.74,30.12,4.95,2.11
120,0,4.83,258.22,6.72,0,56.66,15.07,0,30.4,215.04,4.18,0,11.98,0,0,342.13,429.7,3.52,64.48,11.39,119.03,0,0,10.45,9,290.09,11.88,0,22.44,1.39,0,63.48,3.93,0
