stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,17.73,0,14.32,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,0,0,107.14,0,0,0,252.41,0,0,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.91,0,84.28,0,5.1,0,0,0,0,0,0,38.07,0,0,0,0,0,0,0,0,0,0,0,76.87,31.15,0,0,428.1,0,0,11.51,13.7,53.47,0,6.54,0,0,0,0,0,0
 14-21,0,0,0,0.9,18.38,92.96,18.68,0,0,0,2.96,1.46,4.04,1.07,0,6.96,0,0,0,0,113.81,0,0,173.77,727.7,15.08,0,2.76,3.08,0,0,1.38,169.64,1.76,168.97,403.37,89.96,0,0,10.84,0,0
 24-34,0,0,0,2.04,25.36,49.96,75.38,24.92,15.2,10.76,29.11,0,2.21,16.07,0,10.15,0,0,4.22,0,683.65,0,2.73,422.97,3208.68,20.34,3.81,19.48,0,4.58,5.44,0,4.59,1.99,40.64,228.08,331.06,0,0,182.67,0,0
 36-46,8.46,0,0,0,13.3,2.9,114.25,86.79,7.94,55.22,50.61,0,0,33.64,1.76,0,0,0.77,0,0,987.45,0,26.69,429.18,2213.06,22.28,7.1,10.28,0,1.74,14.56,0,11.9,1.06,30.02,10.44,591.02,0,3.31,165.6,0,0
 48-58,2.88,0,0,0,2.93,0.45,101.67,61.57,17.11,74.31,78.29,0,0.57,11.83,1.73,0.46,0,0,0,6.25,1034.33,0,39.49,303.58,931.36,11.03,10.03,10.83,13.27,5.83,1.7,0,0,0,26.05,3.37,351.17,0,2.75,74.1,2.56,4.6
 60-70,0,0,0,0,5.17,0,75.93,79.46,33.31,69.34,156.6,1.12,0,12.94,2.8,1.57,0,0,0,0,1295.2,3.18,30.09,266.74,538.15,17.23,0,5.42,0,5.72,0,0,0,0,28.73,0,121.48,0,18.68,72.98,11.76,18.34
 72-82,0,0,0,0,14.39,14.35,99.22,37.85,26.78,112.15,270.51,3.43,0,14.74,2.44,1.14,2.99,0,0,0,1584.88,0,28.01,257.06,478.56,9.1,2.68,13.7,0,8.02,0,0,0,0,9.95,0,55.77,0.87,23.08,98.9,36.42,0
 84-94,0,0,0,0,9.19,1.65,146.62,53.75,42.23,91.09,228.6,0.68,0,21.16,4.58,1.67,3.57,0,3.76,0,1439.65,0.78,38.45,229,318.06,10.31,0.9,20.97,0,16.59,2.05,0,0,0,12.27,0,36.09,0,35.08,138.34,25.66,0
 96-106,0,0,2.89,0,21.73,17.29,94.94,63.43,55.41,90.06,266.24,9.39,0,22.73,0,0,3.19,1.42,3.87,1.06,1348.72,3.7,22.5,185.28,337.69,11.14,6.67,17.72,2.41,27.25,8.47,0,0,0,11.51,0,48.54,0,27.95,155.24,36.22,4.7
108-118,0.66,0,1.48,0,14.54,0.6,50.25,48.61,53.23,80.48,309.09,5.45,0,10.06,3.66,1.48,14.27,0,6.84,0,1387.65,0,20.53,183.44,447.48,16.55,3.26,27.79,0,22.63,4.54,0,0,2.35,5.85,0,26.93,0,21.46,126.17,24.29,0
120,0,0,0,0,17.67,13.63,96.7,32.42,39.52,20.23,185.29,3.97,0,18.18,0,1.45,0,2.13,1.01,0,1050.12,1.56,5.08,168.17,327.95,27.4,3.73,19.72,0,32.51,1.39,0,1.12,0,6.63,0,34.75,3.37,10.94,199.69,49.91,0
