stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.76,23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.19,133.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.52,0,0,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,20.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.38,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.62,0,4.24,0,0,0,0,0,0,0,0,54.81,0,0,0,0,0
 24-34,0,0,0,8.89,0.81,0,5.68,0,0.97,0,1.85,0,0,0,0,0,0,0,0,0,3.2,0,0,0.96,2857.01,0,44.08,0.94,0,0,4.25,0,0,0,0.68,286.21,0,0,0.64,0,0
 36-46,0,0,0,1.38,0,0,27.12,0,0,0,0,0,0,0,0,0,0,0,0,7.13,8.32,0,0,2.71,6183.21,1.28,17.6,0,0,0,15.4,0,0,0.85,0,580.32,0,0,3.11,0,0
 48-58,0,0,0,14.47,0.48,0,179.04,0.92,2.57,0.81,39.63,0,0,0,0.47,5.9,0.54,1.41,0,0,36.73,2.05,1.13,17.57,8967.45,4.7,14.48,0,0,0,12.2,0,0,0.55,0,541.53,0,0,1,0,12.54
 60-70,0,0,0,19.63,1.39,0,202.58,1.23,0,2.97,20.63,0,0,0,0,0,5.47,0,6.73,0,31.05,2.44,7.03,10.7,11350.32,0,21.35,0.86,0,1.9,7.17,0,7.12,0,0,631.44,0,2.14,21.01,0,15.68
 72-82,0,0,0,36.95,4.33,0,337.65,1.52,0,5.08,77.79,0.63,0,0,2.63,0.66,0.57,8.04,0,3.96,38.11,0,13.57,1.27,12586.01,0.58,5.2,0,0,0.8,7.94,1.65,0,0,0,318.48,3.03,1.26,17.04,0,14.22
 84-94,0,0,0,76.77,2.34,0,375.36,0.91,1.27,0,52.41,0,0,1.27,1.3,0,3.04,0,0,0,64.43,3.47,4.09,6.88,7955.79,0,6.01,5.51,0,0,17.77,0,0,0,0,189.92,6.84,0.68,0.97,0.91,5.36
 96-106,0,0,1.62,46.73,3.64,9.83,175.75,0,0.61,1.72,70.51,4.51,0,2.69,2.08,0,5.37,0.61,21.42,0,37.39,3.31,3.19,10.62,6937.37,0.65,7.55,3.12,0,0,14.98,0,1.11,1.28,0,93.94,31.07,0,2.28,1.31,9.93
108-118,0,0,0,44.26,7.09,0.9,185.04,0.56,2.88,0,16.81,3.16,0,0,2.31,1.03,2.02,0,10.04,0,41.41,2.46,3.27,3.64,6365.94,0,8.35,2.57,0,0,6.74,0,6.04,0,0,54.31,48.14,1.71,1.26,0,6.21
120,0,0,0,66.73,12.26,0,324.9,0,0,0,61.55,0,0,0,11.85,0,0,1.34,25.08,0,43.87,1.16,0,0,9427.52,5.7,0,5.44,0,0,3.45,0,0,0,0,133.93,15.26,12.76,6.96,0,0
