stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,60.14,952.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.44,0,0,0,0,0,0,0,0,0,0
  5-6,15.75,540.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.36,0,0,0,19.12,0,16.99,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.34,0,9.67,0,0,0,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.52,0,0,0,100.65,0,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,5.93,0,0,24.1,0,0,4.8,10.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.99,11.88,1.65,0,0,0,0,0,0,1.82,1.78,0,0,0,0,1.02,0,12.1,0,0,9.73,8.55,82.29,0,0,1.18,0,16.44,0,0,44.21,7.63,123.48,0,0,0,0,0
 24-34,0,0,0,2.22,0.65,0,0,0,0,0,0,0,0,0,0.6,2.25,0,0,6,0,14.46,0,1.66,6.94,5.4,22.05,0,0,0,0,1.89,0,0,13.68,0,53.54,0,0,0,0,0
 36-46,0,0,0,1.19,0.69,0,0,0.78,0,0,0,0,1.89,0,0,0,0,0,5.58,2.05,0,0,0.86,0,3.18,8.22,0,0,0,0,0,0,0,6.05,0,12.41,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.59,0,0,0,0.8,4.57,0,0,0,0,0,21.74,0,0.42,0,1.03,0,3.96,9.49,0,0,0,0,0,0,0,0,0,2.84,0,0,0,0,0
 60-70,0,0,0.62,0,0,0,0,4.53,0,0,0,0.75,7.32,0,0,0,0,0,82.12,0,0,0,0.71,0,18.12,3.76,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,5.15
 72-82,0,0,4.51,0,0,0,0.76,20.62,0,0,0,6.62,22.37,0,0,0,0,0,288.54,0,8.58,0.56,0.62,0,29.35,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,1.68,0
 84-94,0,0,0.81,0,0.68,10.99,0.56,11.08,0,0.62,0,1.61,39.63,0,0,0,0,0,1012.53,0,6.9,0,0,0,46.34,3.33,0,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.82,0,1.49,17.31,0,40.51,0,0.88,0,4.53,30.81,0,4.94,1.83,1.9,0,1466.73,1.15,16.49,0,1.69,0.81,187.4,0.62,0,0.57,0,2.16,19.6,0,0,0,0,3.23,6.77,0,7.71,5.54,0.8
108-118,0,0,0,0,6.44,4.14,2.36,44.65,4.66,3.35,1.26,8.68,22.76,0,1.25,1.27,0,1.73,3414.82,0.5,30.86,0,2.87,1.98,187.48,1.52,2.59,0,0,0,11.83,0,1.63,0,0,0,0,1.3,6.23,1.59,0
120,0,0,0,0,27.69,16.67,4.06,19.39,0,0,0,15.14,18.66,0,0,0,0,0,1592.72,0,24.14,0,0,3.87,228.91,3.25,2.34,0,0,0,1.38,0,0,0,0,0,0,6.25,0,0,1.64
