stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.11,274.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0,0
  5-6,0,101.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.57,0.92,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,4.26,0,10.38,9.22,0,2.38,0,0,0,0,1.17,0,5.18,11.28,0,0,0,0
 24-34,0,0,0,0,0,0,2.55,0,0,0.62,0,0,2.99,0,0,0,0,10.67,3.83,4.32,0,1.45,199.41,0.97,37.15,1.16,0,9.81,0,0,0,1.66,93.42,0,0,0,0
 36-46,0,0,0,17.96,0.89,0,1.32,0,0,0,0,0,2.5,0,0,0,0,0,0,14.62,0,1.97,443.99,0,32.53,11.03,0,0.66,0,0,0,0,93.31,0,4.65,0,0
 48-58,0,0,0,6.42,0.44,0,19.76,0,0,1.03,10.57,0,0.45,0,0,0,0,1.29,0,12.44,0.4,0,388.77,0,17.44,2.94,0,0,0,0,0,0,91.23,0,3.96,0,1.17
 60-70,0,0,0,5.29,0,0,151.32,0,0,0,0.9,0,10.11,0,0,0,0,0,0,27.62,0,0,348.3,0,11.82,7.22,0,0,0,0,0,0,121.06,0,1.38,0,0
 72-82,0,0,0,2.06,8.8,0,510.29,0,1,0,14.33,0.56,0.49,0,0,0,1.08,0,0,22.02,1.52,1.88,323.17,0,46.86,8.46,0,0,0,0,0,0,50.25,0.88,6.55,0,0
 84-94,0,0,2.22,3.84,8.68,0,612.12,0.6,0,0,13.83,1.49,0,0,0,0,1.82,0,0,18.39,0,3,215.68,1.25,25.56,8.47,0.79,4.33,0,0,0,0,37.77,1.55,6.94,0,0
 96-106,0,0,0,1.51,11.44,0.98,888.35,0.68,4.4,0,8.92,5.37,1.46,0,0,0,4.95,0,4.07,33.41,0,2.26,170.07,0,68.65,23.02,0,4.06,3.39,0,0,0,20.18,0.75,7.54,0,7.43
108-118,0,0,0.98,6.97,2.91,0,672.08,0,0,0,16.55,2.78,0,0.68,0.49,0.74,2.61,0,2.1,17.85,0,1.13,344.71,0.46,54.46,22.62,2.77,0,0,0,0.44,0,15.18,0,15.51,1.62,0
120,0,0,0,6.73,1.06,0,500.93,1.21,0,5.01,22.38,0,0,0,0,11.11,0,0,0,19.55,0,3.76,432.55,0,92.46,17,0,10.23,0,0,0,0,0,0,19.47,0,0
