stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0
 10-12,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1096.93,0,0,22.08,0,0,0,0,0,0,0
 14-21,0,89.59,1.06,0,0,0,0,0,0,0,0,8.21,0,3.24,10.22,0,1.54,0,0,0,1.64,0.81,0,0,0
 24-34,0,33.33,0,0.64,0,1.55,0,0,2.94,0,2.96,7.88,0,3.64,7.57,0,0,0,0,0,0,1.42,0,3.9,0
 36-46,0,38.94,0,0,0,3.61,0,0,0,0,0,8.14,0,7.81,28.18,0,0,0,0,0,0,0,0,3.14,0
 48-58,0,12.94,0,0.93,1.1,0.39,0.4,0,0.67,0,0,22.35,1.7,0.99,1.46,0,0,0,0,0,0,1.52,0,4.08,0
 60-70,0,9.62,0,1.71,0,11.88,0,0,3.13,0,0,23.47,0,0,5.16,0,0,0,0,0,0,0,0.63,3.66,0
 72-82,0,0.52,0,2.51,0,0.8,0,1.08,1.45,0,0,17.93,11.53,0,1.49,0.58,0,0,0,0,0,0,1.37,1.19,0.57
 84-94,0,0.61,0,1.02,0,1.47,2.02,0,0,0,0,13,4.19,0,0,0,0,0,0,0,0,0,2.28,1.26,8.21
 96-106,0,0,0,0,0,4.67,0,2.64,4.1,0,0,12.5,4.16,0,2.15,0,0,0,8.86,0,0,0,4.09,7.36,8.38
108-118,0,3.18,0,0,0,2.56,0,2.58,1.12,1.34,0,6.83,4.74,1.82,0,0,0,0,0,0,0,0,2.65,6.18,5.41
120,0,0,0,0,0,5.17,0,0,0,0,0,15.54,0,0,20.91,0,0,0,0,0,0,0,0,5.76,38.87
