stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,4.16,0
 10-12,0,9.3,0,0,0,0,8.04,0,3.39,0,0
 14-21,0.81,0,0,0,0,0,4.52,0,1.03,0,0
 24-34,0,0,0,0,0,0.84,6.61,0,0,1.97,1.63
 36-46,0,0.81,0,0,0.72,0,8.66,0,0,3.08,3.24
 48-58,0.71,3.84,0,0,0.5,0,24.76,0,0,0,2.78
 60-70,0,15.1,0,0,0,0,16.69,0,0,0,0
 72-82,0,7.71,0,0,0.85,0,5.48,0,0,0,1.63
 84-94,0.94,4.83,0,0,0.57,0,6.11,0,0,0.79,1.86
 96-106,0,5.06,0,0,0,0,1.94,0.75,0,0,0
108-118,1.58,7.51,0,0.62,0,0,1.8,0.6,0,0,0
120,1.18,8.15,2.12,0,0,0,4.15,0,0,0,0
