stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,110.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,215.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.7,3.4,0,0,4.02,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,85.41,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.34,16.52,0,0,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.05,0,0,0,27.85,0,0,0,4.5,0,0,0,0,0,0,0,0
 14-21,0,0,1.76,9.35,5.42,5.18,0,0,0,9.25,2.01,0,0,0,1.18,0.87,0,0,15.76,0,3.75,133.64,3.3,1.87,0,2.82,0,1.07,6.58,0,0.8,9.69,36.17,0,0,1.41,0,0
 24-34,0,0,0,3.69,0,20.86,0,0,0,4.75,0,0,0,0,0,0,0.77,0,19.38,0,8.91,233.78,1.35,2.38,0.64,0,0,1.31,0,0,0,0.71,44.39,0,0,7.14,0,0
 36-46,0,0,0,5.62,0,43.51,1.69,0,0,11.64,0,0,1.06,2.58,0,0,0,0,9.03,0.8,5.31,171.77,3.67,1.91,0.65,0,0,0,0,0,0,0,38.35,0,0.62,2.95,0,0
 48-58,0,0,0,2.69,2.36,64.71,0.58,4.58,0,20.03,0,0.49,2.25,0.39,0,0,0.69,0,15.99,0.52,5.69,115.77,0,0.64,0.8,0,0,5.5,0,0.43,0,0,26.97,0,0,4.38,0,0
 60-70,0,0,0,8.36,0,48.55,0,0,1.24,5.13,4.35,0,0,0,0,9.66,0.72,0,37.59,0,8.86,88.78,0,0,0,0,0.97,2.09,0,0,0,0,9.71,0,0,0.63,0.98,0
 72-82,0,0,0,4.37,0,64.54,0,0,0,11.59,1.19,0,2.33,4.79,0,1.24,1.42,0.64,34.97,0.93,1.26,142.85,0,0,3.04,0,0,5.05,0,0,0,0,16.49,1.01,1.44,4.83,0,7.78
 84-94,0,0,0,1.38,3.09,45.7,0,0,0.83,6.79,0.57,0,0,0.61,0.61,0,0,0,23.79,2.02,3.46,79.76,2.16,2.44,0,0,0,6.73,0,0.62,0,0,7.41,0,0,1.81,0,0
 96-106,0,0,0,2.6,0,24.15,0,0,0.99,18.7,1.44,0,2.66,1.06,0,3.52,1.42,0,33.12,0,1.96,40.52,0,1.65,0.65,0,0,0,0,0,0,0,10.76,0,0,2.73,0,2.76
108-118,0,0,0,1.3,0,39.68,0,1,0,29.07,0,0,0,0.5,0,0,5.32,0,13.48,1.9,5.26,61.87,0.43,0,7.19,0,0,6.45,0,0.75,0,0,0,0,0,0.99,2.63,2.81
120,0,0,0,13.94,0,28.27,0,6.38,0,42.83,1.09,0,0,0,1.72,0,0,0,28.95,0,7.57,90.94,0,2.88,3.16,0,0,1.28,0,1.58,0,0,2.54,0,0,0,0,0
