stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.4,0,0,12.49,0,0,0,0,0,0,0,0,0,0,26.68,5.99,0,0,3.7,0,0,0,0,0,0
 10-12,0,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,12.92,0,0,0,0,0,0
 14-21,0,0,0.81,5.91,0,0,0,0,1.06,0,0,0,3.16,0,0,8.67,0,0,0,0,1.86,1.68,2.1,7.01,0,0
 24-34,0,0,0,0,2.82,0,0,0,0,0,0,0,1.54,0,1.4,24.82,0,2.46,0,0,0,2.61,0,0.63,0,0
 36-46,0,0,0,0,6.29,5.27,0,0.87,0,0,0,0,1.26,0,2.23,75.43,0,0,0.72,0,0,0,0,6.15,0,0
 48-58,0,0,0,0,4.28,1.72,0,0,2.1,0.37,0,0,3.63,0.38,2.55,20.45,0,1.37,0.42,0,0,0,0,2.99,0,0
 60-70,0,0,0,0,9.45,0,0,0,5.87,0.63,0,0,7.8,0,1.49,26.81,0,0,0,0,0,1.41,0,2.66,0,0
 72-82,0,0,2.65,0,10.43,2.53,2.19,8.97,1.57,0,0,0,2.47,1.18,0,16.11,0,0,2.03,0,0,3.1,0,0,0,0.71
 84-94,0,0,0,0,5.56,9.11,0,0,2.99,0,0.6,0,5.12,0,0.66,11.23,0,0,1.72,0,0,0.81,0,2.94,0,0
 96-106,0,0,0.67,0,22.88,0,0,2.77,4.95,0,0,0,4.88,0,0.81,21.78,0,0,0.78,0,0,0.72,0,0,0,0
108-118,0,0,0,0,4.12,0,0,3.55,4.55,0,0.43,0.78,8.19,0,0.56,25.85,0,0,2.03,0,0,0.9,0,0,0,0
120,0,0,13.49,0,10.32,4.53,0,0,1.73,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,3.81,13.95
