stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,394.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0
  5-6,239.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.82,6.68,0,0,38.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.52,0,0,0,27.02,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,5.45,0,0,4.16,0,0,0,0.97,0,0,0,0,0,0,0,0,1.92,0,0.9,18.96,0,0,2.63,0,0,5.19,0,0,0.91,1.72,11.05,0,0,2.17,0,0
 24-34,0,0,0,2.05,1.55,0,8.84,0,1.71,0,1.31,0,0,0,3.1,0,0,0,1.58,4.36,0,1.38,34.36,0,1.25,0,0,0,25.2,0,0.63,0.91,0,8.33,0,0,5.16,0,0.78
 36-46,0,0,0,1.58,1.2,0,16.84,0,0,0,2.2,0,0,2.42,0.56,0,0,0,12.09,2.42,0,0.69,48.88,0,0.84,0,0,0,28.14,1.54,0,0,0,14.71,0,0,6.07,0,0
 48-58,0,0,0,1.57,0,0,23.79,0,0.45,0,9.78,0,0,0,0,0,1.27,1.77,6.57,4.75,0.39,0,33.43,3.9,0,0.61,0,0,14.11,0,0.43,0,0,9.46,0,0,0.44,0,7.21
 60-70,0,0,0,1.8,0,0,38.67,0,0,0.78,11.03,2.78,0,0,0.57,0.87,0,9.12,0,10.37,0,0,41.32,0,1.16,0,0,0,17.99,0,1.05,0,0,11.92,0,0,0,0,0
 72-82,0,0.87,0,1.39,0,0,45.24,0,0.91,1.75,51.4,6,0.9,4.08,2.23,1.13,0,4.93,0,18.47,1.8,0.89,30.35,0,0,3.09,0,0.77,6.46,0,1.46,0,0,2.74,0,0.5,1.72,0,0
 84-94,0,0,0,5.01,0,0,41.08,0,1.95,1.21,89.28,30.73,1.44,2.25,6.39,2.26,0,14.91,0,20.01,4.16,0.81,24.68,3.55,0,3.09,0,0,21.43,0,0,0,0,10.34,0.6,0.64,1.81,0,0
 96-106,0,0,0,2.09,0,0.66,42.25,0,0,0,75.71,19.29,0,1.61,4.25,0,0,24.69,0,12.69,0,0,19.53,1.34,1.03,2.18,0,0,7.02,0,4.64,0,0,5.47,0,1.26,0,0.67,1.4
108-118,0,0.8,2.21,12.39,12.56,0.55,32.15,3.16,0.76,2.84,68.81,17.34,0,0.76,7.03,5.7,0,140.94,0,9.1,5.84,2.26,60.97,1.74,0.95,5.69,0,0,6.33,0,0.43,0,0,3.29,1.68,0,0.71,1.05,1.42
120,0,0,0,9.25,0,1.6,22.93,0,3.21,0,58.78,6.12,0,0,1.76,0,1.69,0,0,5.36,0,0,38.75,5.58,0,0,0,0,2.19,0,0,0,0,2.14,0,0,5.85,0,0
