stage,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm
 14-21,0,0,0,0,0.99,0
 24-34,0,0,0,2.26,0,0.93
 48-58,0,0,0.44,2.17,0,0
 60-70,1.72,0,0,4.74,0,2.55
 72-82,0,6.56,0,0,0,0
 96-106,0,0,3.52,5,0,0
