stage,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.54,0,0,0,0
 14-21,0,1.3,0,0,0,0,0,0,0.84,0,0,0,3.06,0,0
 24-34,0,0,0,0,0,0,0,0,6.57,0,0,0,2.71,0,0
 36-46,0,0,0.56,0,0,0,0,0,1.66,0,0,0,1.6,0,0
 48-58,0,0,1.07,0,0,0,0,0.44,1.62,0,0,0,1.97,0,2.66
 60-70,0,0,0,0,0.76,0,0,0,0,0,0,1.6,0,0,0
 72-82,0,0,0,0,0,0.74,0,0,1.35,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.97,0,0,0.84,0,0,0
 96-106,0,0.57,0,0,0,0,0,1.81,0,1.07,0,0,0,2.67,0
108-118,0,3.52,0.78,1.58,0.72,3.03,4.1,0,8.13,0,0,0.66,0,0,0
