stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,2.72,0,0,0
 24-34,0,1.98,0,0,0,0.72,0,0,0,0,0,0.72,0.85,0,0,0,2.26,1.94,0,6.2,0,8.24,0,0,0.87
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,14.72,0,15.88,0,41.76,0,0,0
 48-58,0,0,4.8,0,0,0,0,0,0,5.23,0,0.4,1.59,0,0.46,0.54,0,12.95,4.37,10.96,0,19.84,0,0.97,0
 60-70,0,0,0,0,0,2.77,0,1.39,4.74,0,0.59,2.54,1.2,0,0,0,0,2.73,0,17.26,0,17.13,0,0,0
 72-82,0,0,0,0,0.76,0.57,0,0.83,0.84,0,0,0,1.37,1.93,0,0,0,9.99,0,21.7,2.25,9.04,0,0,0
 84-94,0,0,1.83,0,0,8.28,0,1.88,3.87,0,0,0.68,0,0,0,0,0,7.65,0,10.56,1.19,18.54,0,6.74,1.18
 96-106,0.99,0,3.59,1.68,0,15.07,0.64,1.76,1.21,0,0,0,0,3.78,0,0,0,2.3,0,38.26,3.26,18.05,0,0,0
108-118,0,0,7.7,0,0.49,0.94,0.5,0,8.83,0,0.99,4.09,2.36,0,0,0,0,19.51,0,21.56,1.71,17.63,1.07,0,0
120,4.32,0,6.47,0,0,0,0,0,14.39,0,0,0,0,0,0,0,0,20.42,0,24.36,25.59,42.83,0,0,0
