stage,epidermis,eye,glial,gut,ionocyte,iridophores,mesenchyme,neural,olfactory,periderm,slow.muscle,spinal.cord
 14-21,0.97,0,0,0,0.89,0,0,0.89,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.65,0,0,0,1.04
 36-46,0,0.61,0,0,0,0,0,1.83,0,0,0,0
 48-58,0,4.15,1.02,0,0,0,0.51,5.24,0,0.46,2.44,0
 60-70,0,0,0,0,0,0,0,0.87,0,0,0,0
 72-82,0,3.33,0,0,0,0,1.37,0.64,0,0,0,0
 84-94,0,0,0,0.97,0,0,0,10.81,0.71,0,0,1.35
 96-106,0,0,0,0,0,0,0,0,0,3.53,0,0
108-118,0,0,0,0,0,0.74,0,1.08,0,1.32,0,0
120,0,0,0,0,0,0,0,17.24,0,0,0,0
