stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
  3-4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
 24-34,0,0,0.63,0,0,0,0,0,0,0,0,0,0,11.3,0,1.09,0,0,0
 36-46,0,0,0,1.92,0,0,0,0,0,0,0.7,0,0,12.57,0,2.55,3.06,0,0
 48-58,0,0,0.89,10.64,0,0,0,0,0,0,0,0,0,22.4,0,0,5.12,1.48,0
 60-70,0,0,0,18.91,0,4.18,0,0,0,0,1.66,2.49,0,7.93,0,0,0,0,0
 72-82,0,1.04,0,18.34,0,0,0,0,0,0,2.04,0,6.78,15.76,0.53,2.75,0,0,0
 84-94,0,0,0,0,0.57,0.73,0,0,0,0,2.3,0,0,15.47,0,6.77,0,1.91,0
 96-106,0,0,0,0.77,0,0,0,0.66,1.13,0,0,0,0,8.04,0,5.2,0,0,3.35
108-118,0,0,0,1.88,0,0,0,0,0,1.68,0,0,0,14.11,0,4.54,0,0,0
120,0,0,1.36,8.56,0,0,0,0,0,0,0,0,0,15.46,0,9.33,0,2.5,0
