stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0
 24-34,0.8,0,0,0,0,0,0,0.78,0,0.78,0.74,0,0.85,0,1.88,0
 36-46,0,0,0,0,0,0,0,0,0,2.36,0.66,0,0,0,2,0
 48-58,0,0,0,0,0,0,4.42,0,0,2.95,0,0,0,0,2.23,0
 72-82,0,0,0,0,4.21,0,0,0,0.9,1.6,1.38,0,0,0,0,0
 84-94,0,1.02,0,0,0,0,0,0,0,1.18,0.95,0,9.03,0,0,0.57
 96-106,0,0,0.59,0,0,0,0,0,0,9.15,0,0,0,0,0,0
108-118,0,0,0,0.46,0,0.8,0,0,0,4.86,1.35,0.67,5.64,0.45,0,0
120,0,0,0,0,0,0,0,0,1.97,0,0,0,1.81,0,0,0
