stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,14.92,0,0,0,6.44,0,3.39,0,0,0
 14-21,1.05,0,0.88,0,0,0,0.88,1.93,3.02,1.78,0,0,1.11,4.6,0,1.07,7.73,0
 24-34,0,0,0,0.66,0,0.73,0.77,0,6.52,0,0.95,0,0,0,0,1.5,4.02,0
 36-46,0,1.7,0,18.52,0,0,3.46,0.56,6.71,0,0,0,0,0,0,0,0,0
 48-58,0,0,4.63,3.71,0,0.57,0.67,0,1.86,0,0,0,0,0,0,0,1.96,0.53
 60-70,0,0,0,1.39,0,0.64,0,0,6,0,0,0,0,0,0,0,0,0
 72-82,0,10.14,2.06,0.78,0,1.94,0,0,6.68,0,0,0,0,0,0,0,0,0
 84-94,0,2.85,2.1,0,0,0,1.37,0,7.07,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.45,0,0,0.86,0,0,0,0,0,0
108-118,1.3,2.14,0.44,1.63,0.74,5.01,0,0,2.69,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2.11,0,13.52,0,0,0,0,0,0,0,0,0
