stage,endoderm,epidermis,eye,glial,hatching.gland,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,6.5,0,0
 24-34,0,0,0,1.04,0,0.6,0,0,0,0,0,3.85,1.82,0,0,0,0,0
 36-46,0,0,0,0,1.26,0,0,0,1.68,0,0,26.13,1.14,0,0,6.47,0,1.78
 48-58,0.43,0.39,1.27,2.39,0,2.72,0,0,7.11,0,0,9.73,0,0,0,22.29,0,10.15
 60-70,0,0,0,13.59,0.66,0,3.91,5.63,10.53,0,0,19.94,0,0,0,8.93,3.57,4.09
 72-82,0,0,10.27,15.21,0.5,0,1.23,0,19.97,0,0,78.4,0,0.53,0,5.91,0,0
 84-94,0,0,7.23,6.77,0,0,0,0,28.87,0,0,17.02,0,0,1.66,4.95,0,1.57
 96-106,0,0.62,9.04,7.3,0,0,4.14,0.71,23.12,2.42,4.26,31.92,0,0,0,10.72,0.82,0
108-118,0,0.51,1.46,8,0,0,2.22,0,34.68,6.84,0.55,47.27,0,0.86,0,0.96,0,0
120,0,3.67,0,7.44,0,0,2.88,0,70.56,0,1.62,67.89,0,0,0,10.01,0,4.37
